t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_H2S(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_N2(bar)
0.0000000000e+00,3.1796775828e+03,3.8717720655e+03,1.0000000000e+03,1.3179956876e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547894048e+19,2.2345210595e+20,0.0000000000e+00,4.6841538805e+20,1.5846119534e+18,7.9550811074e+20,2.7190711972e+02,5.7787790501e+00,1.0677324519e+02,3.4836134318e+01,2.0422276518e-01,6.6010822230e-12,1.2431473840e+02,3.5884738797e-02,6.3609112405e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1790285835e+03,3.8717720655e+03,1.3140890000e+05,1.3013558888e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547897092e+19,2.2345212003e+20,0.0000000000e+00,4.6841546930e+20,1.5846125033e+18,7.9550814787e+20,2.7190713071e+02,5.7787810550e+00,1.0677325190e+02,3.4836136510e+01,2.0422283604e-01,6.6010872187e-12,1.2431473840e+02,3.5884738794e-02,6.3594245266e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1791574013e+03,3.8717720655e+03,1.2974490000e+05,1.2901569308e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547894048e+19,2.2345210595e+20,0.0000000000e+00,4.6841538805e+20,1.5846119534e+18,7.9550811074e+20,2.7190711972e+02,5.7787790502e+00,1.0677324518e+02,3.4836134318e+01,2.0422276519e-01,6.6010822231e-12,1.2431473840e+02,3.5884738797e-02,6.3582256169e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1786787234e+03,3.8717720655e+03,1.2862500000e+05,1.2878592061e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547894048e+19,2.2345210595e+20,0.0000000000e+00,4.6841538805e+20,1.5846119534e+18,7.9550811074e+20,2.7190711972e+02,5.7787790501e+00,1.0677324519e+02,3.4836134318e+01,2.0422276518e-01,6.6010822230e-12,1.2431473840e+02,3.5884738797e-02,6.3580898580e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.1787157015e+03,3.8717720655e+03,1.2839520000e+05,1.2866572630e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547894048e+19,2.2345210595e+20,0.0000000000e+00,4.6841538805e+20,1.5846119534e+18,7.9550811074e+20,2.7190711972e+02,5.7787790501e+00,1.0677324519e+02,3.4836134318e+01,2.0422276518e-01,6.6010822230e-12,1.2431473840e+02,3.5884738797e-02,6.3579865964e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.1787848780e+03,3.8717720655e+03,1.2827500000e+05,1.2857135634e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547894048e+19,2.2345210595e+20,0.0000000000e+00,4.6841538805e+20,1.5846119534e+18,7.9550811074e+20,2.7190711972e+02,5.7787790501e+00,1.0677324519e+02,3.4836134318e+01,2.0422276518e-01,6.6010822230e-12,1.2431473840e+02,3.5884738797e-02,6.3579003261e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.1789045637e+03,3.8717720655e+03,1.2818060000e+05,1.2850432172e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547873572e+19,2.2345201717e+20,0.0000000000e+00,4.6841538724e+20,1.5846119886e+18,7.9550791031e+20,2.7190705980e+02,5.7787790301e+00,1.0677320002e+02,3.4836119583e+01,2.0422276448e-01,6.6010793852e-12,1.2431473840e+02,3.5884737876e-02,6.3578291316e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.1791532928e+03,3.8717720655e+03,1.2811360000e+05,1.2847750187e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547853107e+19,2.2345192845e+20,0.0000000000e+00,4.6841538643e+20,1.5846120238e+18,7.9550770998e+20,2.7190699992e+02,5.7787790101e+00,1.0677315489e+02,3.4836104857e+01,2.0422276377e-01,6.6010765491e-12,1.2431473840e+02,3.5884736955e-02,6.3577754947e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.1794526959e+03,3.8717720655e+03,1.2808680000e+05,1.2849618186e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547832654e+19,2.2345183977e+20,0.0000000000e+00,4.6841538562e+20,1.5846120590e+18,7.9550750977e+20,2.7190694007e+02,5.7787789902e+00,1.0677310977e+02,3.4836090138e+01,2.0422276307e-01,6.6010737144e-12,1.2431473840e+02,3.5884736034e-02,6.3577507851e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.1794525294e+03,3.8717720655e+03,1.2810550000e+05,1.2849574911e+05,5.9400085877e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547628169e+19,2.2345095320e+20,0.0000000000e+00,4.6841537753e+20,1.5846124106e+18,7.9550550811e+20,2.7190634170e+02,5.7787787906e+00,1.0677265876e+02,3.4835942990e+01,2.0422275601e-01,6.6010453755e-12,1.2431473840e+02,3.5884726832e-02,6.3577503275e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9200000000e+02,3.1794521372e+03,3.8717720655e+03,1.2810500000e+05,1.2849580837e+05,5.9400099508e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9547300998e+19,2.2344953472e+20,0.0000000000e+00,4.6841536459e+20,1.5846129731e+18,7.9550230552e+20,2.7190538433e+02,5.7787784713e+00,1.0677193716e+02,3.4835707557e+01,2.0422274473e-01,6.6010000338e-12,1.2431473840e+02,3.5884712110e-02,6.3577501168e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.1794515345e+03,3.8717720655e+03,1.2810510000e+05,1.2849593234e+05,5.9400121324e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9546777524e+19,2.2344726515e+20,0.0000000000e+00,4.6841534388e+20,1.5846138733e+18,7.9549718136e+20,2.7190385254e+02,5.7787779603e+00,1.0677078258e+02,3.4835330863e+01,2.0422272667e-01,6.6009274870e-12,1.2431473840e+02,3.5884688553e-02,6.3577498027e+06,3.2495250251e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
