t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
0.0000000000e+00,3.4398261166e+03,3.8717613781e+03,1.0000000000e+03,7.6452632754e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447251535e+19,4.4955274848e+20,0.0000000000e+00,1.5812768797e+21,1.8723120259e+19,1.4645950708e+21,4.6747812814e+02,6.5893551043e+01,2.0730518830e+02,6.7635964159e+01,2.3286862303e+00,1.6663894872e-09,1.2431473840e+02,3.4627752952e-02,6.4595906246e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4398196592e+03,3.8717613781e+03,7.6058200000e+04,7.6431991785e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447251534e+19,4.4955274847e+20,0.0000000000e+00,1.5812768797e+21,1.8723120258e+19,1.4645950708e+21,4.6747812813e+02,6.5893551041e+01,2.0730518830e+02,6.7635964158e+01,2.3286862302e+00,1.6663894870e-09,1.2431473840e+02,3.4627752952e-02,6.4595709794e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4398193126e+03,3.8717613781e+03,7.6037560000e+04,7.6429652946e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447251506e+19,4.4955274838e+20,0.0000000000e+00,1.5812768805e+21,1.8723120280e+19,1.4645950708e+21,4.6747812812e+02,6.5893551110e+01,2.0730518823e+02,6.7635964137e+01,2.3286862327e+00,1.6663894900e-09,1.2431473840e+02,3.4627752948e-02,6.4595612175e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4398192965e+03,3.8717613781e+03,7.6035220000e+04,7.6429621195e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447251690e+19,4.4955274914e+20,0.0000000000e+00,1.5812768790e+21,1.8723120238e+19,1.4645950721e+21,4.6747812854e+02,6.5893550985e+01,2.0730518865e+02,6.7635964274e+01,2.3286862282e+00,1.6663894870e-09,1.2431473840e+02,3.4627752960e-02,6.4595599345e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.4398192982e+03,3.8717613781e+03,7.6035190000e+04,7.6429626581e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447251533e+19,4.4955274847e+20,0.0000000000e+00,1.5812768797e+21,1.8723120259e+19,1.4645950708e+21,4.6747812813e+02,6.5893551044e+01,2.0730518830e+02,6.7635964157e+01,2.3286862303e+00,1.6663894872e-09,1.2431473840e+02,3.4627752952e-02,6.4595598984e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.4398192982e+03,3.8717613781e+03,7.6035200000e+04,7.6429626720e+04,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447251533e+19,4.4955274847e+20,0.0000000000e+00,1.5812768797e+21,1.8723120259e+19,1.4645950708e+21,4.6747812813e+02,6.5893551044e+01,2.0730518830e+02,6.7635964157e+01,2.3286862303e+00,1.6663894872e-09,1.2431473840e+02,3.4627752952e-02,6.4595598981e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.4398192856e+03,3.8717613781e+03,7.6035200000e+04,7.6429629286e+04,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447231243e+19,4.4955265792e+20,0.0000000000e+00,1.5812768749e+21,1.8723120519e+19,1.4645948667e+21,4.6747806683e+02,6.5893550638e+01,2.0730514239e+02,6.7635949180e+01,2.3286862160e+00,1.6663890976e-09,1.2431473840e+02,3.4627752258e-02,6.4595598912e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.4398192732e+03,3.8717613781e+03,7.6035200000e+04,7.6429631786e+04,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447210954e+19,4.4955256738e+20,0.0000000000e+00,1.5812768700e+21,1.8723120779e+19,1.4645946625e+21,4.6747800552e+02,6.5893550231e+01,2.0730509648e+02,6.7635934202e+01,2.3286862016e+00,1.6663887080e-09,1.2431473840e+02,3.4627751564e-02,6.4595598835e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.4398192601e+03,3.8717613781e+03,7.6035200000e+04,7.6429634401e+04,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4447190664e+19,4.4955247683e+20,0.0000000000e+00,1.5812768651e+21,1.8723121038e+19,1.4645944584e+21,4.6747794422e+02,6.5893549825e+01,2.0730505057e+02,6.7635919224e+01,2.3286861872e+00,1.6663883184e-09,1.2431473840e+02,3.4627750870e-02,6.4595598762e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.4398191348e+03,3.8717613781e+03,7.6035210000e+04,7.6429659418e+04,5.9400085877e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4446987768e+19,4.4955157139e+20,0.0000000000e+00,1.5812768164e+21,1.8723123635e+19,1.4645924171e+21,4.6747733115e+02,6.5893545761e+01,2.0730459150e+02,6.7635769445e+01,2.3286860436e+00,1.6663844227e-09,1.2431473840e+02,3.4627743931e-02,6.4595597975e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9200000000e+02,3.4398189376e+03,3.8717613781e+03,7.6035230000e+04,7.6429698155e+04,5.9400099508e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4446663135e+19,4.4955012267e+20,0.0000000000e+00,1.5812767383e+21,1.8723127791e+19,1.4645891510e+21,4.6747635026e+02,6.5893539260e+01,2.0730385698e+02,6.7635529798e+01,2.3286858139e+00,1.6663781896e-09,1.2431473840e+02,3.4627732829e-02,6.4595596679e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.4398186207e+03,3.8717613781e+03,7.6035270000e+04,7.6429762460e+04,5.9400121324e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4446143721e+19,4.4954780473e+20,0.0000000000e+00,1.5812766135e+21,1.8723134440e+19,1.4645839253e+21,4.6747478082e+02,6.5893528857e+01,2.0730268175e+02,6.7635146364e+01,2.3286854462e+00,1.6663682165e-09,1.2431473840e+02,3.4627715065e-02,6.4595594704e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.4398181091e+03,3.8717613781e+03,7.6035330000e+04,7.6429866839e+04,5.9400156259e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4445311845e+19,4.4954409239e+20,0.0000000000e+00,1.5812764136e+21,1.8723145089e+19,1.4645755559e+21,4.6747226726e+02,6.5893512196e+01,2.0730079953e+02,6.7634532268e+01,2.3286848574e+00,1.6663522440e-09,1.2431473840e+02,3.4627686616e-02,6.4595591638e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.4398172851e+03,3.8717613781e+03,7.6035440000e+04,7.6430030477e+04,5.9400212156e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4443980839e+19,4.4953815262e+20,0.0000000000e+00,1.5812760938e+21,1.8723162127e+19,1.4645621649e+21,4.6746824556e+02,6.5893485538e+01,2.0729778799e+02,6.7633549712e+01,2.3286839153e+00,1.6663266879e-09,1.2431473840e+02,3.4627641095e-02,6.4595586610e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,3.4398159728e+03,3.8717613781e+03,7.6035600000e+04,7.6430294190e+04,5.9400301536e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.4441852436e+19,4.4952865437e+20,0.0000000000e+00,1.5812755823e+21,1.8723189374e+19,1.4645407515e+21,4.6746181448e+02,6.5893442909e+01,2.0729297224e+02,6.7631978515e+01,2.3286824088e+00,1.6662858215e-09,1.2431473840e+02,3.4627568302e-02,6.4595578541e+06,3.2492219652e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
