z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.2094456594e+05,1.0368298496e-04,1.6770342495e+02,6.9516230957e-05,3.1751164702e-05,6.2212600046e-29,2.3044594139e-06,7.2972536581e-17,1.1115086506e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1975867261e+05,1.7203324288e-04,1.5954558361e+02,1.1534297350e-04,5.2682266909e-05,6.2264032060e-29,3.8236021522e-06,3.3322429529e-16,1.8443513497e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1900081310e+05,2.4699450609e-04,1.6014517887e+02,1.6560218324e-04,7.5637885080e-05,6.2260993005e-29,5.4896883234e-06,9.8621060652e-16,2.6479943246e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1824110566e+05,3.5461917137e-04,1.6036802170e+02,2.3776119463e-04,1.0859611706e-04,6.2259474033e-29,7.8817497547e-06,2.9187610587e-15,3.8018169658e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1747742796e+05,5.0913989423e-04,1.6203099052e+02,3.4136255702e-04,1.5591547890e-04,6.2248892023e-29,1.1316127083e-05,8.6387609744e-15,5.4583424999e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1670312634e+05,7.3099102593e-04,1.6505166924e+02,4.9010686428e-04,2.2385365187e-04,6.2229995203e-29,1.6247000424e-05,2.5569754954e-14,7.8365727086e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1591225088e+05,1.0495109223e-03,1.6921246137e+02,7.0366456359e-04,3.2139502441e-04,6.2202782873e-29,2.3326456386e-05,7.5687468865e-14,1.1250902363e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1509863103e+05,1.5068217489e-03,1.7487584436e+02,1.0102772308e-03,4.6143883100e-04,6.2161991094e-29,3.3490734556e-05,2.2405655919e-13,1.6152571716e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1425568314e+05,2.1633998604e-03,1.8180605728e+02,1.4504923376e-03,6.6250498712e-04,6.2107657960e-29,4.8084034776e-05,6.6332664288e-13,2.3189379608e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1337689765e+05,3.1060734021e-03,1.9024909364e+02,2.0825253527e-03,9.5118326309e-04,6.2033784945e-29,6.9036314345e-05,1.9640363158e-12,3.3290985713e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1245358376e+05,4.4595047620e-03,2.0093275065e+02,2.9899582820e-03,1.3656496818e-03,6.1926120152e-29,9.9118585095e-05,5.8165108924e-12,4.7791096064e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1147616913e+05,6.4026763528e-03,2.1340246707e+02,4.2927928019e-03,1.9607150921e-03,6.1775878554e-29,1.4230939896e-04,1.7230189366e-11,6.8603382999e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1043670114e+05,9.1925598620e-03,2.2745301403e+02,6.1633195332e-03,2.8150737205e-03,6.1571381352e-29,2.0432114128e-04,5.1058080704e-11,9.8472760509e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0932965245e+05,1.3198099070e-02,2.4220574296e+02,8.8489022557e-03,4.0417101084e-03,6.1307244011e-29,2.9335553474e-04,1.5135660092e-10,1.4133689653e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0815525647e+05,1.8949000243e-02,2.5603631750e+02,1.2704690538e-02,5.8028403394e-03,6.1002831092e-29,4.2118783847e-04,4.4879624485e-10,2.0284911685e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0691795392e+05,2.7205782310e-02,2.6892958819e+02,1.8240585677e-02,8.3313647688e-03,6.0661087719e-29,6.0472420899e-04,1.3310675579e-09,2.9111825527e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0562110286e+05,3.9060350500e-02,2.8142127400e+02,2.6188671966e-02,1.1961668784e-02,6.0265349474e-29,8.6823698460e-04,3.9491020466e-09,4.1776712616e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0426225318e+05,5.6080393637e-02,2.9557101176e+02,3.7600027968e-02,1.7173849235e-02,5.9728644281e-29,1.2465757562e-03,1.1726845060e-08,5.9940280321e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0283378712e+05,8.0516700702e-02,3.1169865009e+02,5.3983733228e-02,2.4657207886e-02,5.8978431941e-29,1.7897650024e-03,3.4869738063e-08,8.5975955842e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9985873255e+05,1.1560081290e-01,3.3420225253e+02,7.7506413002e-02,3.5401465570e-02,5.7627816998e-29,2.5696329275e-03,1.0408857759e-07,1.2322054582e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9489273286e+05,1.6597237375e-01,3.6376500925e+02,1.1127879412e-01,5.0827728383e-02,5.5164552630e-29,3.6892524595e-03,3.1306510022e-07,1.7631886376e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8950029690e+05,2.3829269154e-01,3.9545654245e+02,1.5976735475e-01,7.2976453327e-02,5.1406837204e-29,5.2962270185e-03,9.5073737449e-07,2.5175362932e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8365215553e+05,3.4212565354e-01,4.2936559502e+02,2.2938585257e-01,1.0477772277e-01,4.5828568032e-29,7.6010856185e-03,2.9324055604e-06,3.5812840386e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7731966912e+05,4.9120248739e-01,4.6557227247e+02,3.2934662399e-01,1.5043924163e-01,3.8036506396e-29,1.0901216419e-02,9.2654544627e-06,5.0624003568e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7047223339e+05,7.0523762578e-01,5.0415204045e+02,4.7289311671e-01,2.1600344770e-01,2.8354407372e-29,1.5602887581e-02,3.0262824607e-05,7.0805321490e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
