z(m),p_tot(bar),T(K)
4.0494035293e+05,1.1922945126e-04,1.8280622516e+02
4.0489341063e+05,1.6949255854e-04,1.6395408746e+02
4.0484937431e+05,2.4094489320e-04,1.6279559099e+02
4.0480553310e+05,3.4251911741e-04,1.6255954058e+02
4.0476157120e+05,4.8691360184e-04,1.6394632667e+02
4.0471697235e+05,6.9217992107e-04,1.6739135782e+02
4.0467109275e+05,9.8397958348e-04,1.7374410405e+02
4.0462316770e+05,1.3987921222e-03,1.8270860156e+02
4.0457252127e+05,1.9884756085e-03,1.9413657150e+02
4.0451853129e+05,2.8267497243e-03,2.0774153495e+02
4.0446083280e+05,4.0184118777e-03,2.2166936607e+02
4.0439955854e+05,5.7124385226e-03,2.3428025449e+02
4.0433500111e+05,8.1206095511e-03,2.4582871121e+02
4.0426758934e+05,1.1543984101e-02,2.5522805727e+02
4.0419776618e+05,1.6410537667e-02,2.6337167132e+02
4.0412561980e+05,2.3328665752e-02,2.7243311697e+02
4.0405082375e+05,3.3163242838e-02,2.8332095755e+02
4.0397277770e+05,4.7143745262e-02,2.9673475801e+02
4.0389111384e+05,6.7017955036e-02,3.0955554246e+02
4.0086455488e+05,9.5270459998e-02,3.2240849825e+02
3.9420645610e+05,1.3543326626e-01,3.3680338238e+02
3.8721577283e+05,1.9252735433e-01,3.5736355045e+02
3.7972219286e+05,2.7369038042e-01,3.8944515030e+02
3.7158096314e+05,3.8906899541e-01,4.2412648939e+02
3.6274497367e+05,5.5308733524e-01,4.6151271322e+02
3.5316359978e+05,7.8625026412e-01,5.0171513457e+02
3.4278201689e+05,1.1177068040e+00,5.4485943286e+02
3.3154748034e+05,1.5888942196e+00,5.9105319115e+02
3.1941110785e+05,2.2587183257e+00,6.4039145834e+02
3.0635321944e+05,3.2109176381e+00,6.9295839221e+02
2.9233080945e+05,4.5645320010e+00,7.4882397296e+02
2.7725707560e+05,6.4887844337e+00,8.0804407136e+02
2.6108830338e+05,9.2242366617e+00,8.7065906988e+02
2.4378026221e+05,1.3112863104e+01,9.3670064169e+02
2.2527345908e+05,1.8640803038e+01,1.0061959651e+03
2.0549133305e+05,2.6499135630e+01,1.0791736219e+03
1.8438695715e+05,3.7670275670e+01,1.1556718110e+03
1.6195681280e+05,5.3550790821e+01,1.2357421976e+03
1.3817464797e+05,7.6125994476e+01,1.3194539217e+03
1.1299940552e+05,1.0821814106e+02,1.4068973111e+03
8.6394772838e+04,1.5383925208e+02,1.4981835346e+03
5.8342335396e+04,2.1869268175e+02,1.5934456664e+03
2.8796575784e+04,3.1088612562e+02,1.6928386948e+03
6.4030500712e+03,3.9729934032e+02,1.7501286290e+03
0.0000000000e+00,4.2621850638e+02,1.7653124413e+03
