z(m),p_tot(bar),T(K)
3.7861153181e+05,1.1909403128e-04,1.7728931806e+02
3.7824623202e+05,1.6891568882e-04,1.6487042424e+02
3.7789558790e+05,2.3957968023e-04,1.6462509149e+02
3.7754540307e+05,3.3980516302e-04,1.6447814715e+02
3.7719425861e+05,4.8195885688e-04,1.6569849359e+02
3.7683906339e+05,6.8358096052e-04,1.6844076663e+02
3.7647578558e+05,9.6954941883e-04,1.7354401470e+02
3.7609986208e+05,1.3751495870e-03,1.8054331754e+02
3.7570781960e+05,1.9504280545e-03,1.8886201909e+02
3.7529671721e+05,2.7663678421e-03,1.9868311938e+02
3.7486356559e+05,3.9236469248e-03,2.0980773729e+02
3.7440643037e+05,5.5650607833e-03,2.2146701783e+02
3.7392373038e+05,7.8931417927e-03,2.3426127965e+02
3.7341380126e+05,1.1195149485e-02,2.4768945277e+02
3.7287690943e+05,1.5878515207e-02,2.6063569761e+02
3.7231459924e+05,2.2521114659e-02,2.7339820580e+02
3.7172741760e+05,3.1942571385e-02,2.8714817708e+02
3.7111287009e+05,4.5305389282e-02,3.0346264617e+02
3.6824935407e+05,6.4258392765e-02,3.1939300810e+02
3.6259266623e+05,9.1140173525e-02,3.3754892366e+02
3.5657337631e+05,1.2926764696e-01,3.6386136852e+02
3.5007638457e+05,1.8334532297e-01,3.9557754366e+02
3.4303676947e+05,2.6004579062e-01,4.2967799309e+02
3.3541557424e+05,3.6883304206e-01,4.6624861657e+02
3.2717172935e+05,5.2313022484e-01,5.0538161187e+02
3.1825888782e+05,7.4197591033e-01,5.4719083407e+02
3.0862556690e+05,1.0523732435e+00,5.9179296959e+02
2.9822882581e+05,1.4926218335e+00,6.3928399745e+02
2.8705279937e+05,2.1170435030e+00,6.8973170285e+02
2.7506248207e+05,3.0026850022e+00,7.4319836810e+02
2.6220463309e+05,4.2588247288e+00,7.9974540123e+02
2.4844230579e+05,6.0404564773e+00,8.5942708175e+02
2.3372934132e+05,8.5674139644e+00,9.2229312143e+02
2.1803301348e+05,1.2151495887e+01,9.8838986218e+02
2.0128611752e+05,1.7234938442e+01,1.0577665591e+03
1.8344443842e+05,2.4444982402e+01,1.1304791163e+03
1.6450536045e+05,3.4671267706e+01,1.2065914349e+03
1.4442325530e+05,4.9175605226e+01,1.2861803756e+03
1.2316838560e+05,6.9747670315e+01,1.3693415348e+03
1.0071001202e+05,9.8925829015e+01,1.4561868042e+03
7.7002591906e+04,1.4031034445e+02,1.5468430023e+03
5.2016434163e+04,1.9900760959e+02,1.6414556122e+03
2.5701545024e+04,2.8226021988e+02,1.7401884803e+03
5.7311158377e+03,3.6014544560e+02,1.8039395970e+03
0.0000000000e+00,3.8618512454e+02,1.8236963100e+03
