z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.7865864225e+05,1.0357112719e-04,1.6955617000e+02,1.0227557903e-04,3.9132840299e-08,4.5296908793e-28,1.2563709226e-06,3.6710950662e-21,5.0763459851e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7859495572e+05,1.6927021358e-04,1.5492795714e+02,1.6715285020e-04,6.3956273056e-08,4.5361950667e-28,2.0533345466e-06,1.6017339490e-20,8.2973761977e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7855528298e+05,2.4041832678e-04,1.5556435550e+02,2.3741098749e-04,9.0838546863e-08,4.5359764040e-28,2.9163976675e-06,4.5894347536e-20,1.1784908231e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7851538699e+05,3.4147160703e-04,1.5667193791e+02,3.3720021477e-04,1.2902005154e-07,4.5354837208e-28,4.1422258108e-06,1.3150365633e-19,1.6738233560e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7847509653e+05,4.8499987488e-04,1.5885192204e+02,4.7893311947e-04,1.8325011147e-07,4.5346083723e-28,5.8832973511e-06,3.7681659775e-19,2.3773341810e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7843404539e+05,6.8885633179e-04,1.6267612261e+02,6.8023958136e-04,2.6027430276e-07,4.5329139341e-28,8.3561807884e-06,1.0798195363e-18,3.3764850382e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7839173238e+05,9.7839828509e-04,1.6895571285e+02,9.6615971887e-04,3.6967352437e-07,4.5299627577e-28,1.1868473284e-05,3.0946896995e-18,4.7954591933e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7834750556e+05,1.3896412940e-03,1.7773808815e+02,1.3722585805e-03,5.2505575107e-07,4.5253772262e-28,1.6857062071e-05,8.8703551466e-18,6.8105711895e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7830072179e+05,1.9737390747e-03,1.8913820977e+02,1.9490500120e-03,7.4574871637e-07,4.5183961189e-28,2.3942468030e-05,2.5430251128e-17,9.6720654053e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7825074937e+05,2.8033464117e-03,2.0301451808e+02,2.7682799752e-03,1.0592040688e-06,4.5081633231e-28,3.4006031072e-05,7.2925010359e-17,1.3735068918e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7819713991e+05,3.9816565445e-03,2.1759270727e+02,3.9318508884e-03,1.5044120224e-06,4.4949143925e-28,4.8299538304e-05,2.0917577221e-16,1.9503834003e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7813997039e+05,5.6552371738e-03,2.3085487931e+02,5.5844970691e-03,2.1367512437e-06,4.4801378255e-28,6.8600931338e-05,6.0007043622e-16,2.7694753182e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7807952503e+05,8.0322617319e-03,2.4295431004e+02,7.9317879544e-03,3.0348773813e-06,4.4640074021e-28,9.7435461063e-05,1.7216456609e-15,3.9324622710e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7801622808e+05,1.1408403670e-02,2.5284682464e+02,1.1265698482e-02,4.3105067198e-06,4.4485258958e-28,1.3838979851e-04,4.9392799305e-15,5.5838794342e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7795060389e+05,1.6203614704e-02,2.6089877239e+02,1.6000927283e-02,6.1223124918e-06,4.4342185040e-28,1.9655817388e-04,1.4169127663e-14,7.9289543370e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7788289262e+05,2.3014361786e-02,2.6889871343e+02,2.2726480237e-02,8.6956624783e-06,4.4183555621e-28,2.7917603836e-04,4.0651916699e-14,1.1258583437e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7781301616e+05,3.2687820471e-02,2.7785210584e+02,3.2278935765e-02,1.2350652321e-05,4.3983005096e-28,3.9652006738e-04,1.1667402942e-13,1.5985251024e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7774064552e+05,4.6427253429e-02,2.8804601152e+02,4.5846505182e-02,1.7541921981e-05,4.3723149684e-28,5.6318645516e-04,3.3503387293e-13,2.2693912885e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7766556573e+05,6.5941681944e-02,2.9853723133e+02,6.5116831991e-02,2.4915206985e-05,4.3414450639e-28,7.9990650229e-04,9.6247597336e-13,3.2215191739e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7758762266e+05,9.3658467743e-02,3.0958482956e+02,9.2486914552e-02,3.5387663094e-05,4.3038714978e-28,1.1361253347e-03,2.7666205557e-12,4.5725512509e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
