z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
6.8811750117e+05,1.0351291335e-04,4.0395996508e+02,2.3147318526e-05,4.4007935281e-05,3.6357701670e-05,9.0129323201e-19,2.3116694584e-65,1.7798922738e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.8087985977e+05,1.6784869855e-04,4.3654906860e+02,3.7533938175e-05,7.1359933980e-05,5.8954894711e-05,1.0795220851e-18,3.0701602954e-65,2.1119198954e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7578285192e+05,2.3706273852e-04,4.4411599600e+02,5.3011421889e-05,1.0078589537e-04,8.3265517760e-05,1.2599978127e-18,4.0885581458e-65,2.4581768802e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7061981146e+05,3.3481785966e-04,4.4929805076e+02,7.4871196234e-05,1.4234593755e-04,1.1760086218e-04,1.4776219643e-18,5.5294079652e-65,2.8768653555e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.6540033453e+05,4.7288325380e-04,4.5565418710e+02,1.0574506070e-04,2.0104366649e-04,1.6609471912e-04,1.7256786930e-18,7.3778445058e-65,3.3508350516e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.6010257003e+05,6.6788125326e-04,4.6413769220e+02,1.4935006284e-04,2.8394597368e-04,2.3458548866e-04,1.9995840569e-18,9.5949458654e-65,3.8676303370e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.5470140505e+05,9.4328857043e-04,4.7523900828e+02,2.1093601085e-04,4.0103385189e-04,3.3131909178e-04,2.2903614080e-18,1.2017293684e-64,4.4050523945e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.4917050894e+05,1.3322627679e-03,4.8895816062e+02,2.9791752226e-04,5.6640405310e-04,4.6794173503e-04,2.5845075937e-18,1.4335484116e-64,4.9313886000e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.4347489658e+05,1.8816342511e-03,5.0583078917e+02,4.2076670415e-04,7.9996626187e-04,6.6090205129e-04,2.8531059283e-18,1.5919779135e-64,5.3825474780e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.3756868644e+05,2.6575443974e-03,5.2757431278e+02,5.9427393856e-04,1.1298401144e-03,9.3343142681e-04,3.0330310203e-18,1.5633435700e-64,5.6247774836e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.3135525335e+05,3.7534086236e-03,5.6284275070e+02,8.3932856515e-04,1.5957406516e-03,1.3183409355e-03,2.9188297240e-18,1.1097531166e-64,5.2401145488e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.2471017995e+05,5.3011630997e-03,6.0647335880e+02,1.1854338455e-03,2.2537597974e-03,1.8619716160e-03,2.7437151006e-18,7.2962209364e-65,4.7510425747e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.1756223066e+05,7.4871491564e-03,6.5367147489e+02,1.6742589974e-03,3.1831195247e-03,2.6297736840e-03,3.5269062963e-18,1.3310017907e-64,6.1814998446e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.0987711251e+05,1.0574547781e-02,7.0426202320e+02,2.3646559448e-03,4.4957097558e-03,3.7141863867e-03,1.1625946956e-17,5.2291232066e-63,2.3834206177e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.0162343416e+05,1.4935065193e-02,7.5822573325e+02,3.3397447705e-03,6.3495593077e-03,5.2457671900e-03,1.3600937842e-16,1.2674601132e-59,3.9507666427e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.9276465820e+05,2.1093684284e-02,8.1551538449e+02,4.7169208988e-03,8.9678617083e-03,7.4089101791e-03,3.0365121142e-15,2.4836737174e-55,1.3703294457e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.8326511197e+05,2.9791869732e-02,8.7607416796e+02,6.6619886641e-03,1.2665846459e-02,1.0464045986e-02,6.1157654800e-14,3.4233740886e-51,4.1897386710e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.7309914477e+05,4.2076836373e-02,9.3979396851e+02,9.4091221606e-03,1.7888730767e-02,1.4778995567e-02,8.7683977518e-13,1.5428101669e-47,8.6115893349e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
