z(m),p_tot(bar),T(K)
3.7187776052e+05,1.1820728495e-04,2.6589839262e+02
3.6916729007e+05,1.6517059261e-04,2.7674725997e+02
3.6640921411e+05,2.3079224494e-04,2.7517146732e+02
3.6366366467e+05,3.2248513180e-04,2.7534701221e+02
3.6089982512e+05,4.5060725614e-04,2.8046004667e+02
3.5808942777e+05,6.2963181637e-04,2.8629672489e+02
3.5522727764e+05,8.7978215792e-04,2.9277424201e+02
3.5230509755e+05,1.2293162850e-03,3.0057160614e+02
3.4930380522e+05,1.7177190000e-03,3.1130177999e+02
3.4619191797e+05,2.4001622682e-03,3.2587440956e+02
3.4293635795e+05,3.3537376682e-03,3.4358741465e+02
3.3950416841e+05,4.6861649716e-03,3.6517953310e+02
3.3584909429e+05,6.5479606079e-03,3.9270377614e+02
3.3193335760e+05,9.1494406156e-03,4.2183889625e+02
3.2774099818e+05,1.2784478801e-02,4.5265010795e+02
3.2325552601e+05,1.7863703922e-02,4.8520376348e+02
3.1845608799e+05,2.4960885991e-02,5.1953423702e+02
3.1331329306e+05,3.4877751679e-02,5.5566797602e+02
3.0779232310e+05,4.8734550634e-02,5.9364644735e+02
3.0186086829e+05,6.8096603456e-02,6.3353580928e+02
2.9550557649e+05,9.5151126703e-02,6.7533655348e+02
2.8873021294e+05,1.3295430981e-01,7.1907377789e+02
2.8153072973e+05,1.8577655472e-01,7.6483078990e+02
2.7389308669e+05,2.5958487795e-01,8.1272534538e+02
2.6579888201e+05,3.6271696911e-01,8.6288806537e+02
2.5722865681e+05,5.0682305039e-01,9.1539361509e+02
2.4816762164e+05,7.0818193326e-01,9.7028320069e+02
2.3859906929e+05,9.8953993945e-01,1.0276246825e+03
2.2850204182e+05,1.3826804184e+00,1.0875015105e+03
2.1785460384e+05,1.9320141241e+00,1.1500077465e+03
2.0663506368e+05,2.6995960354e+00,1.2152453711e+03
1.9482455689e+05,3.7721353397e+00,1.2833222449e+03
1.8240806156e+05,5.2707904570e+00,1.3543596082e+03
1.6936363189e+05,7.3648555896e+00,1.4284864149e+03
1.5566649397e+05,1.0290884887e+01,1.5058335112e+03
1.4128944063e+05,1.4379414568e+01,1.5865365528e+03
1.2620705311e+05,2.0092301643e+01,1.6707472579e+03
1.1039936386e+05,2.8074897166e+01,1.7586261412e+03
9.3843973344e+04,3.9228947727e+01,1.8503342825e+03
7.6506262366e+04,5.4814460431e+01,1.9460452719e+03
5.8348365720e+04,7.6592038442e+01,2.0459467881e+03
3.9326700996e+04,1.0702176591e+02,2.1502361082e+03
1.9397953558e+04,1.4954110912e+02,2.2591398855e+03
4.3359947065e+03,1.8882637685e+02,2.3381897257e+03
0.0000000000e+00,2.0187649367e+02,2.3811828190e+03
