t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,2.9914344983e+03,3.8717777256e+03,1.0000000000e+03,6.2420579141e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106949187e+20,4.4293050813e+20,0.0,1.5982418587e+20,1.7581413460e+17,1.2852986478e+21,4.1945374656e+02,6.7254997975e-01,2.2200931648e+02,7.2433373692e+01,2.3767999330e-02,1.8590918548e-13,1.2431473840e+02,3.7643245170e-02,6.4184923354e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,2.9679315148e+03,3.8717777256e+03,6.2382290000e+05,4.4467835359e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106949187e+20,4.4293050813e+20,0.0,1.5982418587e+20,1.7581413460e+17,1.2852986478e+21,4.1945374655e+02,6.7254997975e-01,2.2200931648e+02,7.2433373692e+01,2.3767999330e-02,1.8590918548e-13,1.2431473840e+02,3.7643245170e-02,6.3865250265e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,2.9559944826e+03,3.8717777256e+03,4.4429540000e+05,3.3463320630e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106949187e+20,4.4293050813e+20,0.0,1.5982418587e+20,1.7581413460e+17,1.2852986478e+21,4.1945374655e+02,6.7254997975e-01,2.2200931648e+02,7.2433373692e+01,2.3767999330e-02,1.8590918548e-13,1.2431473840e+02,3.7643245170e-02,6.3597880596e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,2.9548276575e+03,3.8717777256e+03,3.3425020000e+05,3.2809305932e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106949187e+20,4.4293050813e+20,0.0,1.5982418587e+20,1.7581413460e+17,1.2852986478e+21,4.1945374655e+02,6.7254997975e-01,2.2200931648e+02,7.2433373692e+01,2.3767999330e-02,1.8590918548e-13,1.2431473840e+02,3.7643245170e-02,6.3578923165e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,2.9543799136e+03,3.8717777256e+03,3.2771010000e+05,3.2196999343e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106949187e+20,4.4293050813e+20,0.0,1.5982418587e+20,1.7581413460e+17,1.2852986478e+21,4.1945374655e+02,6.7254997975e-01,2.2200931648e+02,7.2433373692e+01,2.3767999330e-02,1.8590918548e-13,1.2431473840e+02,3.7643245170e-02,6.3560279983e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,2.9539809253e+03,3.8717777256e+03,3.2158700000e+05,3.1654473039e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106949187e+20,4.4293050813e+20,0.0,1.5982418587e+20,1.7581413460e+17,1.2852986478e+21,4.1945374655e+02,6.7254997975e-01,2.2200931648e+02,7.2433373692e+01,2.3767999330e-02,1.8590918548e-13,1.2431473840e+02,3.7643245170e-02,6.3543589037e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,2.9535645254e+03,3.8717777256e+03,3.1616180000e+05,3.1068015407e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106947044e+20,4.4293041558e+20,0.0,1.5982418582e+20,1.7581413624e+17,1.2852984341e+21,4.1945368211e+02,6.7254997936e-01,2.2200926789e+02,7.2433357838e+01,2.3767999316e-02,1.8590914457e-13,1.2431473840e+02,3.7643244797e-02,6.3525013968e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,2.9531553427e+03,3.8717777256e+03,3.1029720000e+05,3.0495325670e+05,5.9400079913e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106944904e+20,4.4293032317e+20,0.0,1.5982418577e+20,1.7581413788e+17,1.2852982206e+21,4.1945361776e+02,6.7254997896e-01,2.2200921937e+02,7.2433342009e+01,2.3767999302e-02,1.8590910373e-13,1.2431473840e+02,3.7643244424e-02,6.3506473392e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,2.9529034861e+03,3.8717777256e+03,3.0457030000e+05,3.0180335917e+05,5.9400082468e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106942767e+20,4.4293023091e+20,0.0,1.5982418572e+20,1.7581413952e+17,1.2852980076e+21,4.1945355352e+02,6.7254997857e-01,2.2200917093e+02,7.2433326206e+01,2.3767999288e-02,1.8590906295e-13,1.2431473840e+02,3.7643244052e-02,6.3496029578e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,2.9525417919e+03,3.8717777256e+03,3.0142040000e+05,2.9627733932e+05,5.9400167677e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.0106871608e+20,4.4292715830e+20,0.0,1.5982418417e+20,1.7581419400e+17,1.2852909112e+21,4.1945141398e+02,6.7254996547e-01,2.2200755774e+02,7.2432799879e+01,2.3767998825e-02,1.8590770482e-13,1.2431473840e+02,3.7643231654e-02,6.3477259757e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
