z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.7708493994e+05,1.0350907404e-04,3.4219173230e+02,8.9507968413e-08,8.8951076218e-05,2.6579928720e-32,1.3747876868e-07,1.6127686396e-15,1.4332314084e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7251321941e+05,1.6775533987e-04,3.8071628084e+02,1.4460906052e-07,1.4416171831e-04,2.4582587609e-32,2.2326413394e-07,7.1422488149e-15,2.3227760659e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6919621469e+05,2.3684301919e-04,3.9520420901e+02,2.0382562053e-07,2.0353344009e-04,2.3586044521e-32,3.1555143648e-07,2.0524626223e-14,3.2793261015e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6581241590e+05,3.3438348839e-04,3.9616629602e+02,2.8773207839e-07,2.8735551743e-04,2.3514133023e-32,4.4554265522e-07,5.7849729690e-14,4.6298828819e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6242822864e+05,4.7209462912e-04,3.9639699866e+02,4.0621720829e-07,4.0569838407e-04,2.3496852943e-32,6.2904569359e-07,1.6286128285e-13,6.5366559205e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5903074896e+05,6.6652016798e-04,4.0005735444e+02,5.7323873362e-07,5.7278074993e-04,2.3218222979e-32,8.8838326200e-07,4.6109177912e-13,9.2286161004e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5559681532e+05,9.4101713282e-04,4.0584715158e+02,8.0866248624e-07,8.0867232770e-04,2.2756885650e-32,1.2549057481e-06,1.3108406534e-12,1.3029262486e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5211254114e+05,1.3285618152e-03,4.1337023688e+02,1.1403979656e-06,1.1417160716e-03,2.2120541649e-32,1.7730205529e-06,3.7421966092e-12,1.8394953258e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4856596338e+05,1.8757113291e-03,4.2147847116e+02,1.6078567961e-06,1.6119166639e-03,2.1386596726e-32,2.5053997830e-06,1.0712439329e-11,2.5970497632e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4495231149e+05,2.6481966814e-03,4.2968854446e+02,2.2665509574e-06,2.2757636868e-03,2.0593310132e-32,3.5406593674e-06,3.0728217431e-11,3.6665811467e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4126167198e+05,3.7388192706e-03,4.4097500113e+02,3.1924028135e-06,3.2130111114e-03,1.9424000616e-32,5.0063324357e-06,8.9066357932e-11,5.1765416890e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3745825351e+05,5.2785994470e-03,4.5831726809e+02,4.4876555168e-06,4.5362647978e-03,1.7464259553e-32,7.0873371825e-06,2.6447435146e-10,7.3082287343e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3348468049e+05,7.4525164513e-03,4.8255800178e+02,6.2873999363e-06,6.4045180947e-03,1.4481316516e-32,1.0053711498e-05,8.1801501236e-10,1.0317496788e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2927379416e+05,1.0521730625e-02,5.1625322155e+02,8.7506100488e-06,9.0422621068e-03,1.0246762580e-32,1.4317198336e-05,2.7400747057e-09,1.4565311070e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2477897110e+05,1.4854957525e-02,5.5183849521e+02,1.2112623843e-05,1.2766436890e-02,6.4155873043e-33,2.0443578212e-05,9.7541057220e-09,2.0561364015e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1998399234e+05,2.0972763031e-02,5.8937189026e+02,1.6716137256e-05,1.8024553753e-02,3.8149895332e-33,2.9204363993e-05,3.5573597735e-08,2.9025070875e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1487034437e+05,2.9610100763e-02,6.2883893524e+02,2.3297717736e-05,2.5448237489e-02,2.9443829745e-33,4.1408183077e-05,1.1354888685e-07,4.0974289287e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0942697271e+05,4.1804604663e-02,6.7008868907e+02,3.3869901968e-05,3.5927852970e-02,6.0838821276e-33,5.7362303540e-05,2.2135919702e-07,5.7858029857e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0364410281e+05,5.9021243631e-02,7.1313020902e+02,5.3191834203e-05,5.0718452974e-02,8.0817406897e-32,7.5899108497e-05,1.6917987835e-07,8.1742334611e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9750320932e+05,8.3328313418e-02,7.5809578507e+02,8.8772438704e-05,7.1591933342e-02,7.6813088280e-30,9.3867432760e-05,4.6110550642e-08,1.1554684840e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9098909593e+05,1.1764590832e-01,8.0514043360e+02,1.4854527850e-04,1.0105283293e-01,1.9752834265e-27,1.0942823801e-04,7.0648267745e-09,1.6336568306e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8409079182e+05,1.6609672243e-01,8.5439452694e+02,2.4006807566e-04,1.4263956498e-01,4.8332782607e-25,1.2416593102e-04,1.0425173213e-09,2.3094956287e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7679166518e+05,2.3450132348e-01,9.0595044804e+02,3.7358956519e-04,2.0134902529e-01,7.2145849412e-23,1.4065167301e-04,1.9108632623e-10,3.2640936945e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6906881243e+05,3.3107739820e-01,9.5988838124e+02,5.6527817345e-04,2.8423426404e-01,6.3983065416e-21,1.6074689507e-04,4.5044527954e-11,4.6121338676e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6090928301e+05,4.6742697215e-01,1.0162957878e+03,8.3923316657e-04,4.0125025618e-01,3.7051165581e-19,1.8579433162e-04,1.3158711113e-11,6.5157260818e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
