z(m),p_tot(bar),T(K)
2.3315722357e+05,1.1903457409e-04,2.3448671471e+02
2.3123643437e+05,1.6866282379e-04,2.5532856631e+02
2.2920439831e+05,2.3898223140e-04,2.6239831725e+02
2.2713684848e+05,3.3861941618e-04,2.6485969539e+02
2.2506055146e+05,4.7979763324e-04,2.6532062908e+02
2.2298352737e+05,6.7983629369e-04,2.6585671119e+02
2.2089958776e+05,9.6327566916e-04,2.6798107226e+02
2.1879621794e+05,1.3648874345e-03,2.7166200455e+02
2.1665977379e+05,1.9339403751e-03,2.7725854705e+02
2.1447264377e+05,2.7402445650e-03,2.8550892335e+02
2.1221765324e+05,3.8827155030e-03,2.9543247145e+02
2.0988285587e+05,5.5015088324e-03,3.0675504412e+02
2.0745629223e+05,7.7952143053e-03,3.2018906802e+02
2.0492301799e+05,1.1045218306e-02,3.3544133369e+02
2.0227246091e+05,1.5650223669e-02,3.5080009339e+02
1.9950675513e+05,2.2175161605e-02,3.6574602429e+02
1.9661205338e+05,3.1420496128e-02,3.8577238455e+02
1.9353600076e+05,4.4520423098e-02,4.1400678250e+02
1.9023999396e+05,6.3082010697e-02,4.4363715833e+02
1.8671619987e+05,8.9382350766e-02,4.7468312145e+02
1.8295258479e+05,1.2664790707e-01,5.0716009276e+02
1.7893781000e+05,1.7945033026e-01,5.4112285820e+02
1.7466305442e+05,2.5426729724e-01,5.7663783784e+02
1.7011263120e+05,3.6027717727e-01,6.1378714892e+02
1.6526426248e+05,5.1048501269e-01,6.5265482807e+02
1.6010372216e+05,7.2331794692e-01,6.9329607293e+02
1.5462510595e+05,1.0248858230e+00,7.3571290207e+02
1.4881931759e+05,1.4521842774e+00,7.7994461139e+02
1.4267933067e+05,2.0576332781e+00,8.2608146593e+02
1.3619533972e+05,2.9155078822e+00,8.7421679995e+02
1.2934690386e+05,4.1310501251e+00,9.2443319073e+02
1.2212329576e+05,5.8533798659e+00,9.7681726291e+02
1.1451525012e+05,8.2937884598e+00,1.0314650223e+03
1.0649938660e+05,1.1751659484e+01,1.0884796413e+03
9.8060814935e+04,1.6651196411e+01,1.1479709439e+03
8.9187655096e+04,2.3593462887e+01,1.2100553242e+03
7.9853820888e+04,3.3430119812e+01,1.2748549117e+03
7.0036207727e+04,4.7367905083e+01,1.3425050832e+03
5.9715229967e+04,6.7116673365e+01,1.4131502041e+03
4.8855578608e+04,9.5099157028e+01,1.4869348626e+03
3.7414226204e+04,1.3474818125e+02,1.5640056278e+03
2.5347136422e+04,1.9092779492e+02,1.6445253426e+03
1.2585431475e+04,2.7052998070e+02,1.7286785547e+03
2.8279160116e+03,3.4493814505e+02,1.7897829016e+03
0.0000000000e+00,3.6980462699e+02,1.8218096477e+03
