t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,2.9859445548e+03,3.8717777256e+03,1.0000000000e+03,6.4287116863e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381415540e+19,1.1161858446e+20,0.0,1.5980990009e+20,1.9009991495e+17,5.3162735468e+20,1.9362227422e+02,6.7242975424e-01,5.1732842137e+01,1.6878500173e+01,2.3763750545e-02,4.3305265303e-14,1.2431473840e+02,3.4808177049e-02,6.4544772174e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,2.9611451395e+03,3.8717777256e+03,6.4248860000e+05,4.5550015385e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381415543e+19,1.1161858447e+20,0.0,1.5980989991e+20,1.9009991452e+17,5.3162735470e+20,1.9362227423e+02,6.7242975273e-01,5.1732842144e+01,1.6878500175e+01,2.3763750492e-02,4.3305265114e-14,1.2431473840e+02,3.4808177049e-02,6.4191595905e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,2.9478769611e+03,3.8717777256e+03,4.5511750000e+05,3.3019140493e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381415540e+19,1.1161858446e+20,0.0,1.5980990006e+20,1.9009991490e+17,5.3162735468e+20,1.9362227422e+02,6.7242975407e-01,5.1732842138e+01,1.6878500173e+01,2.3763750539e-02,4.3305265281e-14,1.2431473840e+02,3.4808177049e-02,6.3869688229e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,2.9465498255e+03,3.8717777256e+03,3.2980870000e+05,3.2341451977e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381415539e+19,1.1161858446e+20,0.0,1.5980990009e+20,1.9009991495e+17,5.3162735468e+20,1.9362227422e+02,6.7242975425e-01,5.1732842137e+01,1.6878500173e+01,2.3763750546e-02,4.3305265304e-14,1.2431473840e+02,3.4808177049e-02,6.3848388229e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,2.9461380760e+03,3.8717777256e+03,3.2303180000e+05,3.1706313828e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381415540e+19,1.1161858446e+20,0.0,1.5980990009e+20,1.9009991495e+17,5.3162735468e+20,1.9362227422e+02,6.7242975424e-01,5.1732842137e+01,1.6878500173e+01,2.3763750545e-02,4.3305265303e-14,1.2431473840e+02,3.4808177049e-02,6.3827197550e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,2.9457379326e+03,3.8717777256e+03,3.1668040000e+05,3.1074671174e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381415540e+19,1.1161858446e+20,0.0,1.5980990009e+20,1.9009991495e+17,5.3162735468e+20,1.9362227422e+02,6.7242975424e-01,5.1732842137e+01,1.6878500173e+01,2.3763750545e-02,4.3305265303e-14,1.2431473840e+02,3.4808177049e-02,6.3805895756e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,2.9453495149e+03,3.8717777256e+03,3.1036400000e+05,3.0461057214e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381394118e+19,1.1161848978e+20,0.0,1.5980989988e+20,1.9009992359e+17,5.3162714648e+20,1.9362221272e+02,6.7242975251e-01,5.1732795771e+01,1.6878485046e+01,2.3763750484e-02,4.3305226266e-14,1.2431473840e+02,3.4808175377e-02,6.3784745931e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,2.9449743686e+03,3.8717777256e+03,3.0422780000e+05,2.9859644167e+05,5.9400079913e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381372735e+19,1.1161839528e+20,0.0,1.5980989967e+20,1.9009993222e+17,5.3162693867e+20,1.9362215134e+02,6.7242975077e-01,5.1732749489e+01,1.6878469945e+01,2.3763750423e-02,4.3305187301e-14,1.2431473840e+02,3.4808173708e-02,6.3763723268e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,2.9446119794e+03,3.8717777256e+03,2.9821370000e+05,2.9270606186e+05,5.9400082468e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4381351392e+19,1.1161830095e+20,0.0,1.5980989947e+20,1.9009994083e+17,5.3162673123e+20,1.9362209007e+02,6.7242974904e-01,5.1732703291e+01,1.6878454873e+01,2.3763750362e-02,4.3305148406e-14,1.2431473840e+02,3.4808172042e-02,6.3742682758e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,2.9442678841e+03,3.8717777256e+03,2.9232330000e+05,2.8709978231e+05,5.9400167677e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.4380641246e+19,1.1161516231e+20,0.0,1.5980989263e+20,1.9010022731e+17,5.3161982942e+20,1.9362005143e+02,6.7242969147e-01,5.1731166210e+01,1.6877953380e+01,2.3763748327e-02,4.3303854309e-14,1.2431473840e+02,3.4808116605e-02,6.3721968451e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
