z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.5816435214e+05,1.0318634944e-04,4.0882167782e+02,5.6745343948e-07,9.6113461598e-05,1.4247630550e-31,3.5027235494e-07,1.9272368690e-15,6.1552854517e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5340559067e+05,1.6007876383e-04,4.4854944054e+02,8.7617853702e-07,1.4910971975e-04,1.1775435813e-31,5.4753803593e-07,7.9625764065e-15,9.5451992139e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4992616692e+05,2.1905652964e-04,4.7650487242e+02,1.1931124925e-06,2.0405229934e-04,9.6641948138e-32,7.5514471542e-07,2.2659495386e-14,1.3055946203e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4632155461e+05,2.9976345413e-04,4.8097620946e+02,1.6311633851e-06,2.7923281614e-04,9.3088059504e-32,1.0348897992e-06,5.9230621747e-14,1.7864570494e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4268762780e+05,4.1020520402e-04,4.8537423748e+02,2.2299726671e-06,3.8211237161e-04,8.9568577260e-32,1.4183324195e-06,1.5491627672e-13,2.4444422056e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3901953850e+05,5.6133697115e-04,4.9128655830e+02,3.0474049323e-06,5.2289861944e-04,8.4819118470e-32,1.9450459060e-06,4.0860280253e-13,3.3445962137e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3530734945e+05,7.6815016507e-04,4.9833430008e+02,4.1628980369e-06,7.1555642504e-04,7.9156203565e-32,2.6689153653e-06,1.0861431842e-12,4.5761710226e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3154503717e+05,1.0511594754e-03,5.0584080480e+02,5.6853431447e-06,9.7919921072e-04,7.3175729964e-32,3.6635063654e-06,2.9015999221e-12,6.2610577639e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2772950760e+05,1.4384378119e-03,5.1375881720e+02,7.7627472418e-06,1.3399895473e-03,6.6989373412e-32,5.0305205191e-06,7.7909658662e-12,8.5657473349e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2385048049e+05,1.9684009774e-03,5.2423330484e+02,1.0588750677e-05,1.8337074874e-03,5.9086044353e-32,6.9178793252e-06,2.1338381593e-11,1.1718637142e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1988357301e+05,2.6936182960e-03,5.3886804210e+02,1.4419669435e-05,2.5093716426e-03,4.8858325816e-32,9.5368666476e-06,6.0465182044e-11,1.6028992359e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1579353275e+05,3.6860271906e-03,5.5898812726e+02,1.9589186352e-05,3.4340359608e-03,3.6874673145e-32,1.3193427949e-05,1.7980145480e-10,2.1920503858e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1151612270e+05,5.0440689647e-03,5.9154510638e+02,2.6497543845e-05,4.6995548402e-03,2.3701340992e-32,1.8362531125e-05,5.8180252503e-10,2.9965323095e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0699544660e+05,6.9024536188e-03,6.2608208934e+02,3.6033679435e-05,6.4312444151e-03,1.8738659122e-32,2.5352432605e-05,1.6873276850e-09,4.0982278982e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0221835878e+05,9.4455223141e-03,6.6244611152e+02,4.9934605529e-05,8.8000709824e-03,3.0213480222e-32,3.4065835878e-05,3.3606247186e-09,5.6144525554e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9717269122e+05,1.2925532964e-02,7.0057318727e+02,7.1622017938e-05,1.2038987891e-02,1.9475256429e-31,4.3329450317e-05,3.2078639130e-09,7.7158855342e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9184697353e+05,1.7687682783e-02,7.4037198368e+02,1.0616982463e-04,1.6466414528e-02,6.7559188985e-30,5.1139779443e-05,1.2304255254e-09,1.0639923364e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8623045796e+05,2.4204349879e-02,7.8177749283e+02,1.5872343302e-04,2.2519581247e-02,7.5765546413e-28,5.6546069638e-05,2.4252180861e-10,1.4694943087e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8031257266e+05,3.3121950470e-02,8.2486704872e+02,2.3401739067e-04,3.0799632569e-02,1.1637318849e-25,6.0564308648e-05,3.8643187743e-11,2.0277255539e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7408235344e+05,4.5325059685e-02,8.6972403832e+02,3.3831983992e-04,4.2129072631e-02,1.3875179471e-23,6.4794689098e-05,6.8496317002e-12,2.7928660237e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6752859064e+05,6.2024156377e-02,9.1637009985e+02,4.8135153402e-04,5.7632206606e-02,1.0729369150e-21,7.0281969547e-05,1.5123616752e-12,3.8402593521e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
