t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
0.0000000000e+00,2.9526715460e+03,3.8717744066e+03,1.0000000000e+03,3.3813441048e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976414842e+19,2.2302358334e+20,0.0000000000e+00,1.5981751230e+20,1.8249633530e+17,7.8100678749e+20,2.6785378873e+02,6.7261553736e-01,1.0770314007e+02,3.5139524396e+01,2.3770316144e-02,9.0207506083e-14,1.2431473840e+02,3.6267494698e-02,6.3803969085e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.9485523438e+03,3.8717744066e+03,3.3775160000e+05,2.9960040692e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976415190e+19,2.2302358481e+20,0.0000000000e+00,1.5981750368e+20,1.8249631553e+17,7.8100679064e+20,2.6785378967e+02,6.7261546486e-01,1.0770314084e+02,3.5139524647e+01,2.3770313582e-02,9.0207487280e-14,1.2431473840e+02,3.6267494718e-02,6.3678739844e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.9473905045e+03,3.8717744066e+03,2.9921760000e+05,2.8534584581e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976415190e+19,2.2302358481e+20,0.0000000000e+00,1.5981750368e+20,1.8249631553e+17,7.8100679064e+20,2.6785378967e+02,6.7261546486e-01,1.0770314084e+02,3.5139524647e+01,2.3770313582e-02,9.0207487280e-14,1.2431473840e+02,3.6267494718e-02,6.3628078290e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.9469447253e+03,3.8717744066e+03,2.8496300000e+05,2.8015715299e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976415190e+19,2.2302358481e+20,0.0000000000e+00,1.5981750368e+20,1.8249631553e+17,7.8100679064e+20,2.6785378967e+02,6.7261546486e-01,1.0770314084e+02,3.5139524647e+01,2.3770313582e-02,9.0207487280e-14,1.2431473840e+02,3.6267494718e-02,6.3608463769e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,2.9466369757e+03,3.8717744066e+03,2.7977430000e+05,2.7510137279e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976415190e+19,2.2302358481e+20,0.0000000000e+00,1.5981750368e+20,1.8249631553e+17,7.8100679064e+20,2.6785378967e+02,6.7261546486e-01,1.0770314084e+02,3.5139524647e+01,2.3770313582e-02,9.0207487280e-14,1.2431473840e+02,3.6267494718e-02,6.3588817974e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,2.9463514935e+03,3.8717744066e+03,2.7471850000e+05,2.7045021929e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976415190e+19,2.2302358481e+20,0.0000000000e+00,1.5981750368e+20,1.8249631553e+17,7.8100679064e+20,2.6785378967e+02,6.7261546486e-01,1.0770314084e+02,3.5139524647e+01,2.3770313582e-02,9.0207487280e-14,1.2431473840e+02,3.6267494718e-02,6.3569996233e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,2.9461577266e+03,3.8717744066e+03,2.7006740000e+05,2.6775026670e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976393688e+19,2.2302349209e+20,0.0000000000e+00,1.5981750359e+20,1.8249631980e+17,7.8100658041e+20,2.6785372676e+02,6.7261546404e-01,1.0770309341e+02,3.5139509172e+01,2.3770313553e-02,9.0207447332e-14,1.2431473840e+02,3.6267493824e-02,6.3558767372e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,2.9459213318e+03,3.8717744066e+03,2.6736740000e+05,2.6327581585e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976372206e+19,2.2302339946e+20,0.0000000000e+00,1.5981750349e+20,1.8249632407e+17,7.8100637039e+20,2.6785366392e+02,6.7261546322e-01,1.0770304602e+02,3.5139493712e+01,2.3770313523e-02,9.0207407424e-14,1.2431473840e+02,3.6267492931e-02,6.3539626084e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,2.9456579302e+03,3.8717744066e+03,2.6289300000e+05,2.5881865558e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976350760e+19,2.2302330698e+20,0.0000000000e+00,1.5981750339e+20,1.8249632834e+17,7.8100616072e+20,2.6785360117e+02,6.7261546239e-01,1.0770299872e+02,3.5139478277e+01,2.3770313494e-02,9.0207367581e-14,1.2431473840e+02,3.6267492039e-02,6.3520239895e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,2.9454048597e+03,3.8717744066e+03,2.5843580000e+05,2.5449791368e+05,5.9400085877e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.9976136666e+19,2.2302238378e+20,0.0000000000e+00,1.5981750242e+20,1.8249637090e+17,7.8100406754e+20,2.6785297481e+02,6.7261545420e-01,1.0770252645e+02,3.5139324194e+01,2.3770313205e-02,9.0206969834e-14,1.2431473840e+02,3.6267483139e-02,6.3500960640e+06,3.2495917681e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
