z(m),p_tot(bar),T(K)
6.0429499468e+05,1.1859183954e-04,1.0349917084e+03
5.9413998956e+05,1.6678785257e-04,1.0838563022e+03
5.8363452586e+05,2.3457084293e-04,1.1117438549e+03
5.7299434011e+05,3.2990100600e-04,1.1172569150e+03
5.6242117006e+05,4.6397358001e-04,1.1049893950e+03
5.5186177811e+05,6.5253357532e-04,1.1243569608e+03
5.4126637576e+05,9.1772481292e-04,1.1161954959e+03
5.3069097288e+05,1.2906904167e-03,1.1290268985e+03
5.2008595877e+05,1.8152301522e-03,1.1304185687e+03
5.0946129673e+05,2.5529441164e-03,1.1417451070e+03
4.9877959369e+05,3.5904668361e-03,1.1485527454e+03
4.8804857793e+05,5.0496413213e-03,1.1600298795e+03
4.7730992841e+05,7.1018278787e-03,1.1581764155e+03
4.6662247231e+05,9.9880280616e-03,1.1571709550e+03
4.5600264131e+05,1.4047187043e-02,1.1495430719e+03
4.4550281523e+05,1.9755998141e-02,1.1377956987e+03
4.3512712715e+05,2.7784884003e-02,1.1315390845e+03
4.2477812033e+05,3.9076728675e-02,1.1412416182e+03
4.1433417987e+05,5.4957606581e-02,1.1596856191e+03
4.0371580019e+05,7.7292512027e-02,1.1875706232e+03
3.9285757143e+05,1.0870437756e-01,1.2224301041e+03
3.8166372057e+05,1.5288210191e-01,1.2726987814e+03
3.6999164009e+05,2.1501376125e-01,1.3386756025e+03
3.5772712257e+05,3.0239587860e-01,1.4153512067e+03
3.4479939882e+05,4.2529030170e-01,1.5006040259e+03
3.3116865440e+05,5.9812931829e-01,1.5877682983e+03
3.1684192594e+05,8.4121053306e-01,1.6710272280e+03
3.0188381867e+05,1.1830805468e+00,1.7446483606e+03
2.8639176114e+05,1.6638873685e+00,1.8100098437e+03
2.7042871443e+05,2.3400952560e+00,1.8720309393e+03
2.5401527599e+05,3.2911156793e+00,1.9319544282e+03
2.3715976400e+05,4.6286331238e+00,1.9928018261e+03
2.1987080493e+05,6.5097209222e+00,2.0547456288e+03
2.0216769896e+05,9.1552873928e+00,2.1134759443e+03
1.8405217212e+05,1.2876018534e+01,2.1739483325e+03
1.6550271490e+05,1.8108863892e+01,2.2371483856e+03
1.4651435599e+05,2.5468350375e+01,2.3022835542e+03
1.2707358201e+05,3.5818750126e+01,2.3714782419e+03
1.0713677988e+05,5.0375577598e+01,2.4437771602e+03
8.6667525103e+04,7.0848335283e+01,2.5181512320e+03
6.5638457853e+04,9.9641271658e+01,2.5980501980e+03
4.4000723787e+04,1.4013572765e+02,2.6832788751e+03
2.1647665947e+04,1.9708722938e+02,2.7792756265e+03
4.8372729629e+03,2.4999284049e+02,2.8658168457e+03
0.0000000000e+00,2.6761672185e+02,2.9442179959e+03
