z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.2579352917e+05,1.0338801874e-04,2.1532981405e+02,2.1093182152e-06,9.6492384287e-05,4.4767135699e-31,8.2125220707e-07,3.8958476655e-15,3.9650732094e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2322866785e+05,1.6483642738e-04,2.4182910264e+02,3.3625286096e-06,1.5384261304e-04,4.4410515343e-31,1.3098154648e-06,1.5856355366e-14,6.3213566366e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2135393890e+05,2.3001455686e-04,2.4280380293e+02,4.6921186874e-06,2.1467395738e-04,4.4397050161e-31,1.8277246886e-06,4.3087719073e-14,8.8206425929e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1947342122e+05,3.2096483289e-04,2.4359733429e+02,6.5474266240e-06,2.9955891900e-04,4.4384631188e-31,2.5504429407e-06,1.1708866957e-13,1.2308282656e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1760614694e+05,4.4787784460e-04,2.4417922892e+02,9.1362775667e-06,4.1800715769e-04,4.4373823137e-31,3.5589773726e-06,3.1819148804e-13,1.7175265782e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1575492228e+05,6.2497365171e-04,2.4518794631e+02,1.2748858479e-05,5.8329302461e-04,4.4358405212e-31,4.9662584467e-06,8.6468603302e-13,2.3966099398e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1389305030e+05,8.7209508138e-04,2.4745465111e+02,1.7789411851e-05,8.1393117441e-04,4.4316092475e-31,6.9304142451e-06,2.3508365230e-12,3.3443531426e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1201117802e+05,1.2169310320e-03,2.5087835270e+02,2.4823031901e-05,1.1357707258e-03,4.4255432571e-31,9.6713095975e-06,6.3920370926e-12,4.6666732502e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1010059203e+05,1.6981188959e-03,2.5545427042e+02,3.4637261894e-05,1.5848678692e-03,4.4169045177e-31,1.3496496173e-05,1.7385483383e-11,6.5117683998e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0813118920e+05,2.3695737134e-03,2.6192917967e+02,4.8331025768e-05,2.2115436821e-03,4.4038076067e-31,1.8835273783e-05,4.7310219784e-11,9.0861823249e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0608363380e+05,3.3065291229e-03,2.7063318541e+02,6.7436438749e-05,3.0860180488e-03,4.3839291651e-31,2.6288048741e-05,1.2885661969e-10,1.2678549537e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0396003948e+05,4.6139669675e-03,2.8231759526e+02,9.4090984577e-05,4.3062819732e-03,4.3533868573e-31,3.6692977779e-05,3.5139876636e-10,1.7690422734e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0173220235e+05,6.4383800612e-03,2.9852132229e+02,1.3126778492e-04,6.0090420037e-03,4.3015645929e-31,5.1228385378e-05,9.6091437297e-10,2.4683594908e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9936123690e+05,8.9841860821e-03,3.2085362217e+02,1.8310548542e-04,8.3851460789e-03,4.2095565598e-31,7.1549032343e-05,2.6408684463e-09,3.4437204955e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9681530301e+05,1.2536631698e-02,3.4502220415e+02,2.5536996287e-04,1.1700903937e-02,4.0757949034e-31,9.9971192246e-05,7.2979802668e-09,4.8038212423e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9408075615e+05,1.7493753234e-02,3.7038668474e+02,3.5605825754e-04,1.6327910884e-02,3.8862522248e-31,1.3976927672e-04,2.0330134951e-08,6.7000675889e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9115022289e+05,2.4410974940e-02,3.9700403862e+02,4.9623643663e-04,2.2784803709e-02,3.6208533364e-31,1.9558983862e-04,5.7322652940e-08,9.3427622263e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8801614246e+05,3.4063341900e-02,4.2493805722e+02,6.9116441068e-04,3.1795765369e-02,3.2588536890e-31,2.7405433880e-04,1.6452916535e-07,1.3022236993e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8466813824e+05,4.7532360516e-02,4.5423616276e+02,9.6167512367e-04,4.4371461135e-02,2.7863654986e-31,3.8470249682e-04,4.8481897378e-07,1.8139694601e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8109553349e+05,6.6327176672e-02,4.8490840800e+02,1.3360188699e-03,6.1924947847e-02,2.2163540088e-31,5.4117284979e-04,1.4804545826e-06,2.5235974101e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7728759778e+05,9.2553669069e-02,5.1695132529e+02,1.8515220650e-03,8.6431014970e-02,1.6047210133e-31,7.6275992570e-04,4.7254521840e-06,3.5035849396e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7323430306e+05,1.2915040392e-01,5.5038828084e+02,2.5564379170e-03,1.2066083619e-01,1.0541849222e-31,1.0739525267e-03,1.5658100264e-05,4.8436782896e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6892883695e+05,1.8021788872e-01,5.8525035242e+02,3.5115403391e-03,1.6851206299e-01,6.6996719958e-32,1.4972790229e-03,5.1211273224e-05,6.6456607187e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6436457965e+05,2.5147801655e-01,6.2157403584e+02,4.8092324093e-03,2.3544751945e-01,5.1826004377e-32,2.0379581623e-03,1.4462375499e-04,9.0388579122e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
