t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
0.0000000000e+00,3.2859005947e+03,3.8717676176e+03,1.0000000000e+03,1.0786166831e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401406727e+19,4.4459859327e+20,0.0000000000e+00,7.7576991278e+20,4.2300872156e+18,1.3254153506e+21,4.3030225966e+02,1.5854221160e+01,2.1833758541e+02,7.1235424556e+01,5.6029013346e-01,1.0160120246e-10,1.2431473840e+02,3.6878812613e-02,6.3734979458e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.2857829066e+03,3.8717676176e+03,1.0746890000e+05,1.0731561279e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401406544e+19,4.4459859262e+20,0.0000000000e+00,7.7576991905e+20,4.2300872858e+18,1.3254153497e+21,4.3030225938e+02,1.5854221417e+01,2.1833758500e+02,7.1235424421e+01,5.6029014251e-01,1.0160120555e-10,1.2431473840e+02,3.6878812597e-02,6.3728469371e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.2858499249e+03,3.8717676176e+03,1.0692290000e+05,1.0722774921e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401407615e+19,4.4459859689e+20,0.0000000000e+00,7.7576990235e+20,4.2300870973e+18,1.3254153579e+21,4.3030226189e+02,1.5854220734e+01,2.1833758742e+02,7.1235425212e+01,5.6029011839e-01,1.0160119793e-10,1.2431473840e+02,3.6878812652e-02,6.3727473221e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.2858497106e+03,3.8717676176e+03,1.0683500000e+05,1.0722033055e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401406727e+19,4.4459859327e+20,0.0000000000e+00,7.7576991278e+20,4.2300872156e+18,1.3254153506e+21,4.3030225966e+02,1.5854221160e+01,2.1833758541e+02,7.1235424556e+01,5.6029013346e-01,1.0160120246e-10,1.2431473840e+02,3.6878812613e-02,6.3727393333e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.2858497098e+03,3.8717676176e+03,1.0682760000e+05,1.0722016221e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401406727e+19,4.4459859327e+20,0.0000000000e+00,7.7576991278e+20,4.2300872156e+18,1.3254153506e+21,4.3030225966e+02,1.5854221160e+01,2.1833758541e+02,7.1235424556e+01,5.6029013346e-01,1.0160120246e-10,1.2431473840e+02,3.6878812613e-02,6.3727389012e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.2858497097e+03,3.8717676176e+03,1.0682740000e+05,1.0722016310e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401406727e+19,4.4459859327e+20,0.0000000000e+00,7.7576991278e+20,4.2300872156e+18,1.3254153506e+21,4.3030225966e+02,1.5854221160e+01,2.1833758541e+02,7.1235424556e+01,5.6029013346e-01,1.0160120246e-10,1.2431473840e+02,3.6878812613e-02,6.3727388861e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.2858496949e+03,3.8717676176e+03,1.0682740000e+05,1.0722016614e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401386198e+19,4.4459850403e+20,0.0000000000e+00,7.7576991170e+20,4.2300872561e+18,1.3254151456e+21,4.3030219791e+02,1.5854221116e+01,2.1833753888e+02,7.1235409377e+01,5.6029013190e-01,1.0160118025e-10,1.2431473840e+02,3.6878812157e-02,6.3727388789e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.2858760457e+03,3.8717676176e+03,1.0682740000e+05,1.0721118415e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401365668e+19,4.4459841479e+20,0.0000000000e+00,7.7576991061e+20,4.2300872966e+18,1.3254149405e+21,4.3030213616e+02,1.5854221072e+01,2.1833749236e+02,7.1235394197e+01,5.6029013033e-01,1.0160115803e-10,1.2431473840e+02,3.6878811700e-02,6.3729868847e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.2858890196e+03,3.8717676176e+03,1.0681850000e+05,1.0721229707e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401345136e+19,4.4459832554e+20,0.0000000000e+00,7.7576990953e+20,4.2300873371e+18,1.3254147355e+21,4.3030207440e+02,1.5854221027e+01,2.1833744583e+02,7.1235379016e+01,5.6029012876e-01,1.0160113581e-10,1.2431473840e+02,3.6878811244e-02,6.3729869936e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.2858889257e+03,3.8717676176e+03,1.0681960000e+05,1.0721232217e+05,5.9400085877e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,9.9401139816e+19,4.4459743302e+20,0.0000000000e+00,7.7576989868e+20,4.2300877420e+18,1.3254126848e+21,4.3030145682e+02,1.5854220584e+01,2.1833698051e+02,7.1235227202e+01,5.6029011309e-01,1.0160091359e-10,1.2431473840e+02,3.6878806683e-02,6.3729869056e+06,3.2493993771e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
