z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.9624798697e+05,1.0366373268e-04,1.6565978161e+02,6.4142191776e-05,3.7178892905e-05,5.7682594504e-29,2.2084657115e-06,8.4651010544e-17,1.3518262868e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9497710971e+05,1.7155470779e-04,1.5852736714e+02,1.0614783799e-04,6.1527197330e-05,5.7739032356e-29,3.6542434868e-06,3.8333909313e-16,2.2369399383e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9416144670e+05,2.4585048387e-04,1.5902723824e+02,1.5212250715e-04,8.8174607518e-05,5.7724779669e-29,5.2374864602e-06,1.1287673886e-15,3.2060643116e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9334399544e+05,3.5232178234e-04,1.5928424731e+02,2.1800057158e-04,1.2636002781e-04,5.7716966689e-29,7.5060461428e-06,3.3227636330e-15,4.5947486938e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9252197091e+05,5.0490296526e-04,1.6102697380e+02,3.1241270008e-04,1.8108375285e-04,5.7714824329e-29,1.0756136186e-05,9.7776077692e-15,6.5841593030e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9168845493e+05,7.2356299582e-04,1.6395073991e+02,4.4770746993e-04,2.5950548896e-04,5.7691204132e-29,1.5415158926e-05,2.8786026087e-14,9.4359103793e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9083807431e+05,1.0369188635e-03,1.6776333556e+02,6.4158680383e-04,3.7188724321e-04,5.7650824226e-29,2.2094017199e-05,8.4780336658e-14,1.3523866841e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8996511819e+05,1.4859808140e-03,1.7296256759e+02,9.1942567585e-04,5.3293695882e-04,5.7613653393e-29,3.1662868001e-05,2.4959314355e-13,1.9380301291e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8906279067e+05,2.1295195384e-03,1.7942799407e+02,1.3176434051e-03,7.6374973202e-04,5.7591772627e-29,4.5367386775e-05,7.3425276237e-13,2.7766548538e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8812451374e+05,3.0517577492e-03,1.8720501327e+02,1.8882891220e-03,1.0945130570e-03,5.7526706768e-29,6.5017763370e-05,2.1622006034e-12,3.9790051016e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8714127518e+05,4.3733927735e-03,1.9728884682e+02,2.7060688779e-03,1.5685216739e-03,5.7444410872e-29,9.3169855583e-05,6.3657369644e-12,5.7011872132e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8610180911e+05,6.2673927364e-03,2.0946133246e+02,3.8779610694e-03,2.2477978171e-03,5.7311085365e-29,1.3352503688e-04,1.8753932235e-11,8.1692239664e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8499645697e+05,8.9816336532e-03,2.2330293186e+02,5.5572276808e-03,3.2212044115e-03,5.7145818447e-29,1.9132948470e-04,5.5234645849e-11,1.1703201010e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8381838596e+05,1.2871340041e-02,2.3810601603e+02,7.9641482978e-03,4.6163060877e-03,5.6903513327e-29,2.7422577124e-04,1.6288499358e-10,1.6768399556e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8256641081e+05,1.8445574696e-02,2.5229779188e+02,1.1413223799e-02,6.6155213294e-03,5.6627902417e-29,3.9299916927e-04,4.8030405632e-10,2.4022375773e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8124493971e+05,2.6433861960e-02,2.6535997088e+02,1.6356097751e-02,9.4805776409e-03,5.6327912031e-29,5.6318425027e-04,1.4162619287e-09,3.4410847769e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7985858529e+05,3.7881663740e-02,2.7783450723e+02,2.3439374286e-02,1.3586358424e-02,5.5971048788e-29,8.0715203019e-04,4.1791930165e-09,4.9294265476e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7840679367e+05,5.4287203657e-02,2.9128442982e+02,3.3590516938e-02,1.9470344995e-02,5.5530219424e-29,1.1566524507e-03,1.2333915444e-08,7.0595487493e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7688117392e+05,7.7797546094e-02,3.0757474660e+02,4.8136253540e-02,2.7902056745e-02,5.4875435133e-29,1.6573846656e-03,3.6447545904e-08,1.0106572362e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7401811105e+05,1.1148959185e-01,3.2962650165e+02,6.8985047490e-02,3.9986683782e-02,5.3704906186e-29,2.3754816353e-03,1.0817579093e-07,1.4461641137e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6943492569e+05,1.5977276552e-01,3.5846041663e+02,9.8859443821e-02,5.7304097903e-02,5.1602669820e-29,3.4043661700e-03,3.2316150163e-07,2.0662479560e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6446174657e+05,2.2896609611e-01,3.8931038079e+02,1.4167371066e-01,8.2122506113e-02,4.8428139077e-29,4.8778645306e-03,9.7318965263e-07,2.9461453854e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5907345983e+05,3.2812521582e-01,4.2225594754e+02,2.0303093926e-01,1.1769079113e-01,4.3709817472e-29,6.9876334215e-03,2.9713051085e-06,4.1871613183e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5324352936e+05,4.7022751004e-01,4.5737566033e+02,2.9095546773e-01,1.6866332626e-01,3.7038608449e-29,1.0005327031e-02,9.2725880082e-06,5.9191426726e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4694634074e+05,6.7387052423e-01,4.9473724372e+02,4.1700591874e-01,2.4172564121e-01,2.8586159591e-29,1.4289650482e-02,2.9703308145e-05,8.2825188605e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4015485540e+05,9.6570590560e-01,5.3425770652e+02,5.9773090030e-01,3.4643988584e-01,1.9541347219e-29,2.0304422006e-02,9.7857429633e-05,1.1412848948e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3284313615e+05,1.3839274201e+00,5.7634905096e+02,8.5707612193e-01,4.9652101385e-01,1.2227370759e-29,2.8486452568e-02,3.1942567023e-04,1.5385657410e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2498200435e+05,1.9832695370e+00,6.2092568620e+02,1.2295818886e+00,7.1157708304e-01,9.1798175504e-30,3.9173916962e-02,9.1246603007e-04,2.0540073943e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1655695667e+05,2.8421707663e+00,6.6806107248e+02,1.7638544936e+00,1.0195773420e+00,1.7516459757e-29,5.3963636504e-02,1.8565329894e-03,2.9518523906e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
