t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.3065795355e+03,3.8717777256e+03,1.0000000000e+03,3.9688881114e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595730888e+19,1.1240426911e+20,0.0,7.7534188872e+20,4.6581112794e+18,5.7875450566e+20,2.0707540244e+02,1.5828000597e+01,5.0045361781e+01,1.6327938165e+01,5.5936349551e-01,2.3211139920e-11,1.2431473840e+02,3.3437398285e-02,6.5398274318e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.3013394648e+03,3.8717777256e+03,3.9649590000e+05,2.8727175354e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595733620e+19,1.1240428163e+20,0.0,7.7534189641e+20,4.6581113403e+18,5.7875453348e+20,2.0707541061e+02,1.5828000911e+01,5.0045367692e+01,1.6327940093e+01,5.5936350661e-01,2.3211143582e-11,1.2431473840e+02,3.3437398511e-02,6.5103375693e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2984538198e+03,3.8717777256e+03,2.8687890000e+05,2.1051898969e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595730888e+19,1.1240426911e+20,0.0,7.7534188872e+20,4.6581112794e+18,5.7875450567e+20,2.0707540244e+02,1.5828000597e+01,5.0045361782e+01,1.6327938165e+01,5.5936349551e-01,2.3211139920e-11,1.2431473840e+02,3.3437398285e-02,6.4830759796e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2979819120e+03,3.8717777256e+03,2.1012610000e+05,2.0610293929e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595730888e+19,1.1240426911e+20,0.0,7.7534188872e+20,4.6581112794e+18,5.7875450567e+20,2.0707540244e+02,1.5828000597e+01,5.0045361782e+01,1.6327938165e+01,5.5936349551e-01,2.3211139920e-11,1.2431473840e+02,3.3437398285e-02,6.4812683093e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,3.2978750914e+03,3.8717777256e+03,2.0571010000e+05,2.0167848824e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595730888e+19,1.1240426911e+20,0.0,7.7534188872e+20,4.6581112794e+18,5.7875450566e+20,2.0707540244e+02,1.5828000597e+01,5.0045361781e+01,1.6327938165e+01,5.5936349551e-01,2.3211139920e-11,1.2431473840e+02,3.3437398285e-02,6.4794087181e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,3.2977725471e+03,3.8717777256e+03,2.0128560000e+05,1.9750379830e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595730888e+19,1.1240426911e+20,0.0,7.7534188872e+20,4.6581112794e+18,5.7875450566e+20,2.0707540244e+02,1.5828000597e+01,5.0045361781e+01,1.6327938165e+01,5.5936349551e-01,2.3211139920e-11,1.2431473840e+02,3.3437398285e-02,6.4775813943e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,3.2976770150e+03,3.8717777256e+03,1.9711090000e+05,1.9358715788e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595709842e+19,1.1240417330e+20,0.0,7.7534188367e+20,4.6581114860e+18,5.7875429949e+20,2.0707534184e+02,1.5828000391e+01,5.0045316252e+01,1.6327923310e+01,5.5936348822e-01,2.3211118198e-11,1.2431473840e+02,3.3437396366e-02,6.4757953623e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,3.2975988464e+03,3.8717777256e+03,1.9319430000e+05,1.9060651252e+05,5.9400079913e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595688830e+19,1.1240407764e+20,0.0,7.7534187863e+20,4.6581116923e+18,5.7875409365e+20,2.0707528134e+02,1.5828000185e+01,5.0045270795e+01,1.6327908479e+01,5.5936348095e-01,2.3211096512e-11,1.2431473840e+02,3.3437394450e-02,6.4743988447e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,3.2975133235e+03,3.8717777256e+03,1.9021360000e+05,1.8661802942e+05,5.9400082468e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3595667844e+19,1.1240398211e+20,0.0,7.7534187360e+20,4.6581118984e+18,5.7875388806e+20,2.0707522092e+02,1.5827999979e+01,5.0045225396e+01,1.6327893667e+01,5.5936347369e-01,2.3211074853e-11,1.2431473840e+02,3.3437392537e-02,6.4725303970e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,3.2974207731e+03,3.8717777256e+03,1.8622520000e+05,1.8270202259e+05,5.9400167677e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.3594969501e+19,1.1240080290e+20,0.0,7.7534170605e+20,4.6581187550e+18,5.7874704679e+20,2.0707321018e+02,1.5827993139e+01,5.0043714639e+01,1.6327400763e+01,5.5936323194e-01,2.3210354098e-11,1.2431473840e+02,3.3437328867e-02,6.4706761035e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
