z(m),p_tot(bar),T(K)
2.7431061984e+05,1.1725749648e-04,2.3751670822e+02
2.7219175541e+05,1.6122108978e-04,2.4998299435e+02
2.7002174769e+05,2.2166804317e-04,2.4856698176e+02
2.6786237335e+05,3.0477849658e-04,2.4808417737e+02
2.6569408934e+05,4.1904972250e-04,2.5147216325e+02
2.6349769108e+05,5.7616489319e-04,2.5525564129e+02
2.6126830756e+05,7.9218757662e-04,2.5996988500e+02
2.5899813652e+05,1.0892040872e-03,2.6573862227e+02
2.5667837296e+05,1.4975816063e-03,2.7266987198e+02
2.5429128207e+05,2.0590729451e-03,2.8287611385e+02
2.5180751376e+05,2.8310853815e-03,2.9681931385e+02
2.4919610908e+05,3.8925500218e-03,3.1464407537e+02
2.4641985199e+05,5.3519917736e-03,3.3762222644e+02
2.4344870094e+05,7.3586250104e-03,3.6215289298e+02
2.4027137627e+05,1.0117609356e-02,3.8798223601e+02
2.3687748356e+05,1.3911025354e-02,4.1516432635e+02
2.3325587028e+05,1.9126714580e-02,4.4375064106e+02
2.2939411970e+05,2.6297932850e-02,4.7381140458e+02
2.2527802252e+05,3.6157870673e-02,5.0535848082e+02
2.2089108687e+05,4.9714615178e-02,5.3838060199e+02
2.1621408983e+05,6.8354217665e-02,5.7289651033e+02
2.1122669780e+05,9.3982404487e-02,6.0897409813e+02
2.0591280247e+05,1.2921941988e-01,6.4667149798e+02
2.0026580282e+05,1.7766792163e-01,6.8601344911e+02
1.9428199475e+05,2.4428131936e-01,7.2704225229e+02
1.8795354621e+05,3.3587021472e-01,7.6982693385e+02
1.8127018262e+05,4.6179872221e-01,8.1445851854e+02
1.7421839233e+05,6.3494186292e-01,8.6101775770e+02
1.6678374062e+05,8.7300191597e-01,9.0954981633e+02
1.5895319697e+05,1.2003183123e+00,9.6010800515e+02
1.5071287156e+05,1.6503561154e+00,1.0127599783e+03
1.4204599240e+05,2.2691275138e+00,1.0675797544e+03
1.3293881986e+05,3.1198961398e+00,1.1246475713e+03
1.2337823296e+05,4.2896451893e+00,1.1840475889e+03
1.1334643731e+05,5.8979706455e+00,1.2458688426e+03
1.0282753254e+05,8.1093088590e+00,1.3102082201e+03
9.1806316331e+04,1.1149748638e+01,1.3771720432e+03
8.0263732555e+04,1.5330146730e+01,1.4468707116e+03
6.8180505292e+04,2.1077910040e+01,1.5194162824e+03
5.5538676070e+04,2.8980694020e+01,1.5949257892e+03
4.2316597125e+04,3.9846484983e+01,1.6735321796e+03
2.8488308717e+04,5.4786209205e+01,1.7553817480e+03
1.4028876963e+04,7.5327314828e+01,1.8406458262e+03
3.1360551502e+03,9.4052157068e+01,1.9026055682e+03
0.0000000000e+00,1.0022925081e+02,1.9555308527e+03
