z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.6151606902e+05,1.0354398181e-04,1.8025548172e+02,9.2848659240e-05,9.1446770164e-06,2.4971767009e-28,1.5351596051e-06,2.3214744425e-18,1.5964951766e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6102646382e+05,1.6860596234e-04,1.6394907518e+02,1.5119022515e-04,1.4890741696e-05,2.5018562165e-28,2.4997752331e-06,1.0016240792e-17,2.6000228838e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6072308742e+05,2.3884796599e-04,1.6376738193e+02,2.1417675425e-04,2.1094291751e-05,2.5018866382e-28,3.5411928255e-06,2.8474006871e-17,3.6832074975e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6041978267e+05,3.3835310487e-04,1.6392404270e+02,3.0340375510e-04,2.9882268793e-05,2.5018568116e-28,5.0164697607e-06,8.0946162261e-17,5.2176435710e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6011518136e+05,4.7931253297e-04,1.6532290743e+02,4.2980312580e-04,4.2331357433e-05,2.5014943481e-28,7.1063544771e-06,2.3012593201e-16,7.3912563708e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5980688208e+05,6.7899629399e-04,1.6804436247e+02,6.0886104241e-04,5.9966793979e-05,2.5007691084e-28,1.0066896068e-05,6.5427218903e-16,1.0470257528e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5949157812e+05,9.6186920962e-04,1.7312629180e+02,8.6251528984e-04,8.4949236927e-05,2.4993498697e-28,1.4260816697e-05,1.8603570120e-15,1.4831577188e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5916524540e+05,1.3625882565e-03,1.8018811916e+02,1.2218430325e-03,1.2033948544e-04,2.4972077798e-28,2.0201950810e-05,5.2903081602e-15,2.1009116373e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5882474159e+05,1.9302486640e-03,1.8858019203e+02,1.7308683195e-03,1.7047348314e-04,2.4943429110e-28,2.8618200346e-05,1.5045724140e-14,2.9759026087e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5846750976e+05,2.7343989551e-03,1.9844637625e+02,2.4519558112e-03,2.4149355404e-04,2.4904594818e-28,4.0540721156e-05,4.2796802765e-14,4.2151802406e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5809110921e+05,3.8735618810e-03,2.0943112085e+02,3.4734515598e-03,3.4210094786e-04,2.4854403330e-28,5.7430259096e-05,1.2175424089e-13,5.9703323015e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5769416897e+05,5.4873052149e-03,2.2072572374e+02,4.9205069748e-03,4.8462190096e-04,2.4793527520e-28,8.1356119881e-05,3.4643940046e-13,8.4560310167e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5727559705e+05,7.7733412932e-03,2.3298931657e+02,6.9704120674e-03,6.8651785495e-04,2.4715172085e-28,1.1524973046e-04,9.8602070701e-13,1.1975983985e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5683394318e+05,1.1011750303e-02,2.4577367175e+02,9.8743166400e-03,9.7252479409e-04,2.4617419706e-28,1.6326378926e-04,2.8072043325e-12,1.6960147814e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5636914586e+05,1.5599295097e-02,2.5803720583e+02,1.3988000633e-02,1.3776838323e-03,2.4505228061e-28,2.3128103032e-04,7.9939272838e-12,2.4017521038e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5588194448e+05,2.2098031725e-02,2.7003046219e+02,1.9815463400e-02,1.9516344868e-03,2.4374991691e-28,3.2763506619e-04,2.2770314396e-11,3.4009610605e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5537227002e+05,3.1304171316e-02,2.8243166194e+02,2.8070672472e-02,2.7646965777e-03,2.4215262227e-28,4.6413155013e-04,6.4890299021e-11,4.8154196440e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5483883208e+05,4.4345630142e-02,2.9592482987e+02,3.9765037035e-02,3.9164859960e-03,2.4007760289e-28,6.5749483832e-04,1.8506282540e-10,6.8171006638e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5428202766e+05,6.2820219481e-02,3.0783879505e+02,5.6331325037e-02,5.5481181487e-03,2.3790231229e-28,9.3141552512e-04,5.2788334526e-10,9.6504732259e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5136015342e+05,8.8991405984e-02,3.2016353104e+02,7.9799200297e-02,7.8595001228e-03,2.3525983143e-28,1.3194553506e-03,1.5069184282e-09,1.3659313275e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4550145420e+05,1.2606562671e-01,3.3775889973e+02,1.1304388644e-01,1.1133830381e-02,2.3067401587e-28,1.8691648354e-03,4.3153598853e-09,1.9320923447e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3927452363e+05,1.7858513485e-01,3.6344922106e+02,1.6013841833e-01,1.5772309826e-02,2.2188741957e-28,2.6479434669e-03,1.2446653831e-08,2.7289747748e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3255502511e+05,2.5298450673e-01,3.9516136093e+02,2.2685267154e-01,2.2343316574e-02,2.0676198268e-28,3.7512081265e-03,3.6324812596e-08,3.8451738312e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2526867377e+05,3.5837899219e-01,4.2928290862e+02,3.2136024710e-01,3.1652076426e-02,1.8407798043e-28,5.3142532299e-03,1.0782461882e-07,5.3991382622e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1737571849e+05,5.0768129519e-01,4.6590398447e+02,4.5523993705e-01,4.4839436565e-02,1.5204794138e-28,7.5285932731e-03,3.2906846721e-07,7.5376655126e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
