t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_N2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
0.0000000000e+00,3.2920353799e+03,3.8717696658e+03,1.0000000000e+03,1.0868783664e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738200258e+19,2.2426179974e+20,0.0000000000e+00,7.7556642249e+20,4.4335775073e+18,8.2458554692e+20,2.7999077012e+02,1.5844127137e+01,1.0501084305e+02,3.4261128121e+01,5.5993340944e-01,4.8803537509e-11,1.2431473840e+02,3.5164351512e-02,6.3989708046e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.2915819721e+03,3.8717696658e+03,1.0829500000e+05,1.0722477913e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738200258e+19,2.2426179974e+20,0.0000000000e+00,7.7556642249e+20,4.4335775073e+18,8.2458554692e+20,2.7999077012e+02,1.5844127137e+01,1.0501084305e+02,3.4261128121e+01,5.5993340944e-01,4.8803537509e-11,1.2431473840e+02,3.5164351512e-02,6.3970762879e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.2916223777e+03,3.8717696658e+03,1.0683200000e+05,1.0633294734e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738200249e+19,2.2426179970e+20,0.0000000000e+00,7.7556642245e+20,4.4335775069e+18,8.2458554683e+20,2.7999077009e+02,1.5844127136e+01,1.0501084303e+02,3.4261128115e+01,5.5993340939e-01,4.8803537490e-11,1.2431473840e+02,3.5164351512e-02,6.3957916827e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.2912947807e+03,3.8717696658e+03,1.0594010000e+05,1.0619142813e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738200258e+19,2.2426179974e+20,0.0000000000e+00,7.7556642249e+20,4.4335775073e+18,8.2458554692e+20,2.7999077012e+02,1.5844127137e+01,1.0501084305e+02,3.4261128121e+01,5.5993340944e-01,4.8803537509e-11,1.2431473840e+02,3.5164351512e-02,6.3956795618e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.2913234010e+03,3.8717696658e+03,1.0579860000e+05,1.0611621539e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738200258e+19,2.2426179974e+20,0.0000000000e+00,7.7556642249e+20,4.4335775073e+18,8.2458554692e+20,2.7999077012e+02,1.5844127137e+01,1.0501084305e+02,3.4261128121e+01,5.5993340944e-01,4.8803537509e-11,1.2431473840e+02,3.5164351512e-02,6.3955992570e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.2913791318e+03,3.8717696658e+03,1.0572340000e+05,1.0606169876e+05,5.9400074628e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738200258e+19,2.2426179974e+20,0.0000000000e+00,7.7556642249e+20,4.4335775073e+18,8.2458554692e+20,2.7999077012e+02,1.5844127137e+01,1.0501084305e+02,3.4261128121e+01,5.5993340944e-01,4.8803537509e-11,1.2431473840e+02,3.5164351512e-02,6.3955395719e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.2914932066e+03,3.8717696658e+03,1.0566890000e+05,1.0602725584e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738179825e+19,2.2426171017e+20,0.0000000000e+00,7.7556642021e+20,4.4335776125e+18,8.2458534635e+20,2.7999071027e+02,1.5844127044e+01,1.0501079799e+02,3.4261113422e+01,5.5993340615e-01,4.8803515997e-11,1.2431473840e+02,3.5164350471e-02,6.3954923524e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.2917737219e+03,3.8717696658e+03,1.0563440000e+05,1.0602607115e+05,5.9400075651e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738159402e+19,2.2426162064e+20,0.0000000000e+00,7.7556641793e+20,4.4335777177e+18,8.2458514587e+20,2.7999065045e+02,1.5844126951e+01,1.0501075296e+02,3.4261098730e+01,5.5993340286e-01,4.8803494495e-11,1.2431473840e+02,3.5164349429e-02,6.3954591499e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.2918134585e+03,3.8717696658e+03,1.0563330000e+05,1.0602733215e+05,5.9400077355e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8738138987e+19,2.2426153115e+20,0.0000000000e+00,7.7556641566e+20,4.4335778229e+18,8.2458494548e+20,2.7999059065e+02,1.5844126858e+01,1.0501070795e+02,3.4261084044e+01,5.5993339957e-01,4.8803473002e-11,1.2431473840e+02,3.5164348389e-02,6.3954568366e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.2918132261e+03,3.8717696658e+03,1.0563450000e+05,1.0602731220e+05,5.9400085877e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,4.8737934851e+19,2.2426063627e+20,0.0000000000e+00,7.7556639288e+20,4.4335788746e+18,8.2458294168e+20,2.7998999273e+02,1.5844125927e+01,1.0501025784e+02,3.4260937191e+01,5.5993336668e-01,4.8803258083e-11,1.2431473840e+02,3.5164337982e-02,6.3954567064e+06,3.2494581608e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
