z(m),p_tot(bar),T(K)
2.6457253177e+05,1.1806187467e-04,2.3728246035e+02
2.6253696424e+05,1.6456179844e-04,2.5730213394e+02
2.6041816215e+05,2.2937621124e-04,2.5663684595e+02
2.5831410968e+05,3.1971846919e-04,2.5469292372e+02
2.5621168562e+05,4.4564298533e-04,2.5787775879e+02
2.5408754683e+05,6.2116421011e-04,2.6133715053e+02
2.5193982454e+05,8.6581633422e-04,2.6506081971e+02
2.4976223398e+05,1.2068272969e-03,2.7018041726e+02
2.4754068225e+05,1.6821490504e-03,2.7743731330e+02
2.4525513875e+05,2.3446813270e-03,2.8756773630e+02
2.4288022457e+05,3.2681589802e-03,3.0118335584e+02
2.4038997541e+05,4.5553581191e-03,3.1803377680e+02
2.3775741340e+05,6.3495343156e-03,3.3862831776e+02
2.3494944777e+05,8.8503658704e-03,3.6366145781e+02
2.3194209868e+05,1.2336176505e-02,3.8997902572e+02
2.2872473773e+05,1.7194910695e-02,4.1764293059e+02
2.2528608795e+05,2.3967308970e-02,4.4671896653e+02
2.2161624172e+05,3.3407088263e-02,4.7726407427e+02
2.1770450627e+05,4.6564824930e-02,5.0925562145e+02
2.1353599041e+05,6.4904875986e-02,5.4267759224e+02
2.0909300657e+05,9.0468351016e-02,5.7757063091e+02
2.0435424307e+05,1.2610027230e-01,6.1403075852e+02
1.9929666814e+05,1.7576620438e-01,6.5217498849e+02
1.9390405530e+05,2.4499359151e-01,6.9208989883e+02
1.8817339928e+05,3.4148692062e-01,7.3379016993e+02
1.8210454434e+05,4.7598517265e-01,7.7729852532e+02
1.7568982191e+05,6.6345699030e-01,8.2269065286e+02
1.6891637871e+05,9.2476657524e-01,8.7005707176e+02
1.6176896211e+05,1.2889957167e+00,9.1946330275e+02
1.5423435561e+05,1.7966803754e+00,9.7097387656e+02
1.4630164292e+05,2.5043220312e+00,1.0246676809e+03
1.3795774326e+05,3.4906758720e+00,1.0806310852e+03
1.2918605012e+05,4.8655156531e+00,1.1389580463e+03
1.1996860307e+05,6.7818506897e+00,1.1997481005e+03
1.1028698452e+05,9.4529546419e+00,1.2631060201e+03
1.0012202270e+05,1.3176101267e+01,1.3291474954e+03
8.9460484098e+04,1.8365648748e+01,1.3979976936e+03
7.8286997409e+04,2.5599154645e+01,1.4697845202e+03
6.6577803448e+04,3.5681653696e+01,1.5446319510e+03
5.4305874530e+04,4.9735252127e+01,1.6226789343e+03
4.1441230214e+04,6.9324009620e+01,1.7040796302e+03
2.7948935786e+04,9.6628007385e+01,1.7889945602e+03
1.3794599579e+04,1.3468597478e+02,1.8775959966e+03
3.0855564313e+03,1.6977705065e+02,1.9419197616e+03
0.0000000000e+00,1.8142155013e+02,1.9832896608e+03
