z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.3186941808e+05,1.0358332369e-04,1.7292769824e+02,8.1922647947e-05,1.9810096666e-05,1.4078639562e-28,1.8047624379e-06,1.2335238872e-17,4.6084376840e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3102028245e+05,1.6956945816e-04,1.6170670263e+02,1.3411019481e-04,3.2429801849e-05,1.4095516540e-28,2.9544513726e-06,5.4091024163e-17,7.5448423575e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3048307751e+05,2.4112711726e-04,1.6222858876e+02,1.9070418078e-04,4.6115053872e-05,1.4094838477e-28,4.2012188730e-06,1.5553499430e-16,1.0728698222e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2994478227e+05,3.4288183324e-04,1.6238506953e+02,2.7118061139e-04,6.5575429362e-05,1.4094668206e-28,5.9741172138e-06,4.4722424691e-16,1.5256153884e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2940442122e+05,4.8757664797e-04,1.6363681332e+02,3.8561778415e-04,9.3248010460e-05,1.4092791406e-28,8.4951738421e-06,1.2860042326e-15,2.1693977560e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2885761912e+05,6.9333211795e-04,1.6645811609e+02,5.4834699913e-04,1.3259831885e-04,1.4088696349e-28,1.2080111178e-05,3.6981564019e-15,3.0848086907e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2829894747e+05,9.8591560482e-04,1.7101278547e+02,7.7974730742e-04,1.8855431554e-04,1.4081704772e-28,1.7177887783e-05,1.0635594885e-14,4.3864243712e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2772285803e+05,1.4019681977e-03,1.7716211628e+02,1.1087976381e-03,2.6812354505e-04,1.4071481672e-28,2.4426923947e-05,3.0589741364e-14,6.2371420505e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2712453918e+05,1.9935933845e-03,1.8460817859e+02,1.5767059128e-03,3.8127071351e-04,1.4057860380e-28,3.4735055527e-05,8.7989230667e-14,8.8685539492e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2649950283e+05,2.8348821243e-03,1.9348325938e+02,2.2420696213e-03,5.4216561046e-04,1.4039489094e-28,4.9393237329e-05,2.5312723930e-13,1.2609824750e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2584246224e+05,4.0311914764e-03,2.0416462358e+02,3.1882141352e-03,7.7095765592e-04,1.4013846782e-28,7.0237235512e-05,7.2833845338e-13,1.7928687140e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2514850067e+05,5.7323387735e-03,2.1598016033e+02,4.5336277887e-03,1.0962992723e-03,1.3980458561e-28,9.9877526138e-05,2.0961334172e-12,2.5490006525e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2441368250e+05,8.1513636864e-03,2.2904320137e+02,6.4468004371e-03,1.5589341975e-03,1.3936346864e-28,1.4202629643e-04,6.0343602430e-12,3.6238180143e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2363467292e+05,1.1591207808e-02,2.4285737213e+02,9.1673238889e-03,2.2167999944e-03,1.3879423105e-28,2.0196237794e-04,1.7377854336e-11,5.1514878714e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2281115634e+05,1.6482652917e-02,2.5598270173e+02,1.3035896830e-02,3.1522836220e-03,1.3814035923e-28,2.8719219084e-04,5.0056839155e-11,7.3228235439e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2194556040e+05,2.3438269047e-02,2.6834920460e+02,1.8536991265e-02,4.4825392982e-03,1.3740128157e-28,4.0839004151e-04,1.4422338359e-10,1.0408869387e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2103915485e+05,3.3329128430e-02,2.8081094831e+02,2.6359523943e-02,6.3741606317e-03,1.3651737490e-28,5.8073530302e-04,4.1570471502e-10,1.4794251899e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2009039471e+05,4.7393892426e-02,2.9418767919e+02,3.7483130821e-02,9.0640446361e-03,1.3538330916e-28,8.2581391746e-04,1.1990599478e-09,2.1024261527e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1909816613e+05,6.7393932729e-02,3.0751703742e+02,5.3300851870e-02,1.2889058083e-02,1.3402842037e-28,1.1743193739e-03,3.4607746222e-09,2.9873871391e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1621756417e+05,9.5833913109e-02,3.2324508415e+02,7.5793578811e-02,1.8328234456e-02,1.3209142347e-28,1.6699027897e-03,1.0005363539e-08,4.2433983922e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1095063117e+05,1.3627545582e-01,3.4670030685e+02,1.0777810316e-01,2.6062799715e-02,1.2836775450e-28,2.3746628111e-03,2.9078411503e-08,6.0211070404e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0527505426e+05,1.9378317398e-01,3.7690777963e+02,1.5325984728e-01,3.7061516115e-02,1.2170620702e-28,3.3769532781e-03,8.5294713143e-08,8.5277089948e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9911944141e+05,2.7555892802e-01,4.0934442210e+02,2.1793461167e-01,5.2702046518e-02,1.1161393474e-28,4.8022555604e-03,2.5328959708e-07,1.2046983795e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9245189570e+05,3.9184373570e-01,4.4410159792e+02,3.0990180736e-01,7.4943697833e-02,9.6879429159e-29,6.8289996316e-03,7.6759783977e-07,1.6946638469e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8523800565e+05,5.5720028494e-01,4.8125663993e+02,4.4067960667e-01,1.0657306616e-01,7.7018568122e-29,9.7099000793e-03,2.4021217726e-06,2.3675491303e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7746180253e+05,7.9233666191e-01,5.1838597778e+02,6.2665173994e-01,1.5155246632e-01,5.5342021082e-29,1.3798707338e-02,7.7898012998e-06,3.2799288762e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6909381667e+05,1.1266996855e+00,5.6045482565e+02,8.9113366707e-01,2.1551570448e-01,3.4026214019e-29,1.9578494350e-02,2.6621434184e-05,4.4813628037e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6007715020e+05,1.6021626189e+00,6.0519335900e+02,1.2673457598e+00,3.0645827570e-01,2.1129945503e-29,2.7663625137e-02,8.9395835448e-05,6.0969885056e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5039053069e+05,2.2782690814e+00,6.5268072535e+02,1.8025440364e+00,4.3571734092e-01,2.4613807445e-29,3.8913181184e-02,2.3440826028e-04,8.6598590592e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4000601970e+05,3.2396898703e+00,7.0299443310e+02,2.5633630916e+00,6.1939851567e-01,1.7867627475e-28,5.5186884918e-02,3.2072978649e-04,1.4290601241e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2887101459e+05,4.6068265341e+00,7.5621150593e+02,3.6449282728e+00,8.8012405899e-01,1.5265126244e-26,7.8745991574e-02,1.7854303792e-04,2.8615050907e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1694242221e+05,6.5508896113e+00,8.1240271525e+02,5.1844827306e+00,1.2495400412e+00,4.9254591588e-24,1.1064340170e-01,5.6812950340e-05,6.1835557877e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0418906176e+05,9.3153398292e+00,8.7163046817e+02,7.3762179061e+00,1.7727508726e+00,1.3883951759e-21,1.5345561920e-01,1.7914057019e-05,1.2922016052e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9057959020e+05,1.3246377406e+01,9.3395575625e+02,1.0495881396e+01,2.5138634072e+00,2.0821952707e-19,2.1129210441e-01,6.8936850656e-06,2.5368098102e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7606964416e+05,1.8836297719e+01,9.9943971266e+02,1.4936174244e+01,3.5636136755e+00,1.7552380372e-17,2.8938813809e-01,3.2057018795e-06,4.7167869373e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6059925162e+05,2.6785142902e+01,1.0681463600e+03,2.1256167491e+01,5.0504497104e+00,9.5339394576e-16,3.9452640819e-01,1.7198768246e-06,8.4069496494e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4412926642e+05,3.8088370177e+01,1.1401467818e+03,3.0251499587e+01,7.1564068534e+00,3.6708097430e-14,5.3570445521e-01,1.0309730782e-06,1.4486070851e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2664627287e+05,5.4161515885e+01,1.2155201558e+03,4.3054221566e+01,1.0139677544e+01,1.0601274725e-12,7.2506467145e-01,6.7879921712e-07,2.4269746268e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0811941699e+05,7.7017467255e+01,1.2943569559e+03,6.1274856092e+01,1.4366663746e+01,2.3795284915e-11,9.7912069727e-01,4.8650292946e-07,3.9703390538e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.8513440796e+04,1.0951854219e+02,1.3767655106e+03,8.7204459465e+01,2.0357485094e+01,4.2589269205e-10,1.3204528559e+00,3.7754758987e-07,6.3643587642e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7779479140e+04,1.5573494573e+02,1.4628682490e+03,1.2410202145e+02,2.8850616627e+01,6.2067610681e-09,1.7800419512e+00,3.1601776650e-07,1.0026556095e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5878030743e+04,2.2145449379e+02,1.5527997191e+03,1.7660317679e+02,4.0894735017e+01,7.4976180981e-08,2.4005322468e+00,2.8438696018e-07,1.5564915374e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2757048306e+04,3.1490743834e+02,1.6467124208e+03,2.5130140660e+02,5.7979173282e+01,7.6285851929e-07,3.2407690693e+00,2.7429216263e-07,2.3862618560e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1436951327e+03,4.0252327071e+02,1.7148449280e+03,3.2136353342e+02,7.3966145145e+01,3.5165713291e-06,3.9983722545e+00,2.7762313831e-07,3.1945115045e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.2110105382e+01,4.3184872484e+02,1.7349349205e+03,3.4481873591e+02,7.9311739772e+01,5.3962832164e-06,4.2467286082e+00,2.7969018150e-07,3.4703429240e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
