z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.4119121686e+05,1.0337871488e-04,2.1654363345e+02,6.5914904886e-06,9.1599585013e-05,6.6647166960e-31,2.1030483394e-06,1.6287443551e-14,3.0844236210e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3859321728e+05,1.6461406360e-04,2.4234150771e+02,1.0495147121e-05,1.4585930825e-04,6.6145873451e-31,3.3495574223e-06,6.6001308587e-14,4.9104007886e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3665109992e+05,2.2949764136e-04,2.4053165736e+02,1.4631948929e-05,2.0334997432e-04,6.6188075839e-31,4.6696937313e-06,1.7879098212e-13,6.8459468376e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3477976911e+05,3.1995545360e-04,2.3902075416e+02,2.0399547317e-05,2.8350204670e-04,6.6227441480e-31,6.5099811380e-06,4.8429603024e-13,9.5440838555e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3297560227e+05,4.4606773161e-04,2.4098420454e+02,2.8440058327e-05,3.9524655926e-04,6.6184796692e-31,9.0760317022e-06,1.3127039202e-12,1.3305523846e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3115487090e+05,6.2188788764e-04,2.4378523472e+02,3.9648436973e-05,5.5103295287e-04,6.6106698199e-31,1.2654689485e-05,3.5600218248e-12,1.8551166321e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2931321633e+05,8.6700856707e-04,2.4688017443e+02,5.5276047043e-05,7.6822991755e-04,6.6035463022e-31,1.7642844612e-05,9.6512109945e-12,2.5861643391e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2744641222e+05,1.2087449688e-03,2.5085937929e+02,7.7062096266e-05,1.0710336249e-03,6.5933054433e-31,2.4598179442e-05,2.6172818722e-11,3.6053838962e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2554570501e+05,1.6851787343e-03,2.5634071339e+02,1.0743279834e-04,1.4931840618e-03,6.5778184222e-31,3.4297024152e-05,7.1009812690e-11,5.0263143548e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2353644381e+05,2.3494016023e-03,2.6381996856e+02,1.4977482717e-04,2.0817440129e-03,6.5560761180e-31,4.7818808961e-05,1.9270830708e-10,7.0064806520e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2138876979e+05,3.2754317252e-03,2.7378252043e+02,2.0879844364e-04,2.9022919222e-03,6.5223518015e-31,6.6677601775e-05,5.2350765873e-10,9.7667247286e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1914716736e+05,4.5664619348e-03,2.8806384618e+02,2.9106334513e-04,4.0462606019e-03,6.4638509969e-31,9.2990994770e-05,1.4251468548e-09,1.3614229526e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1676972882e+05,6.3663591096e-03,3.0911704150e+02,4.0570988197e-04,5.6411904433e-03,6.3556032910e-31,1.2971772537e-04,3.8942701848e-09,1.8972672740e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1421818460e+05,8.8756960840e-03,3.3280971497e+02,5.6546664093e-04,7.8649186344e-03,6.1929231155e-31,1.8099561271e-04,1.0687080069e-08,2.6432537503e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1147533852e+05,1.2374102626e-02,3.5772193689e+02,7.8800556637e-04,1.0965254488e-02,5.9601886890e-31,2.5264966706e-04,2.9509610176e-08,3.6815227834e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0853110527e+05,1.7251426181e-02,3.8389623952e+02,1.0979238304e-03,1.5288143340e-02,5.6323527238e-31,3.5283927791e-04,8.2185363240e-08,5.1244803131e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0537556385e+05,2.4051174802e-02,4.1139823112e+02,1.5292137209e-03,2.1315843304e-02,5.1757427249e-31,4.9316042298e-04,2.3199054750e-07,7.1273562174e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
