t(yr),T_surf(K),phi(vol_frac),p_H2O(bar)
1.0,3412.341,1.0,9.593268
132.8716,3393.6702,1.0,9.593248
268.12457,3376.5732,1.0,9.593228
410.40262,3357.8281,1.0,9.593206
556.3288,3339.059,1.0,9.593185
705.9968,3321.766,1.0,9.593162
863.4386,3302.928,1.0,9.593138
1024.9175,3285.4956,1.0,9.593114
1194.7834,3266.5918,1.0,9.593088
1369.0052,3247.6667,1.0,9.593061
1547.6942,3230.0613,1.0,9.593035
1735.6644,3211.0752,1.0,9.593006
1928.4545,3193.347,1.0,9.592977
2131.258,3174.3027,1.0,9.592946
2339.2617,3156.4578,1.0,9.592915
2558.0693,3137.3586,1.0,9.592882
2782.4878,3119.403,1.0,9.592848
3018.5625,3100.2517,1.0,9.592812
3260.6904,3082.1912,1.0,9.592775
3515.3948,3062.9902,1.0,9.592737
3776.6301,3044.8303,1.0,9.592697
4051.4338,3025.5823,1.0,9.592655
4333.284,3007.3396,1.0,9.592613
4629.8594,2989.0237,1.0,9.592568
4941.8394,2969.7026,1.0,9.592522
5261.819,2951.3005,1.0,9.592472
5598.418,2932.842,1.0,9.592422
5952.501,2913.454,1.0,9.592368
6315.663,2894.95,1.0,9.592313
6698.064,2876.36,1.0,9.592255
7100.3276,2857.7207,1.0,9.592195
7523.4844,2838.2478,1.0,9.59213
7957.4927,2819.6233,1.0,9.592064
8415.321,2800.8657,0.9999311,9.593087
8896.933,2782.0645,0.9993522,9.602168
9403.577,2763.2207,0.99819213,9.620407
9936.583,2744.3362,0.9964204,9.648295
10497.345,2725.412,0.994061,9.685516
11087.34,2706.45,0.9910938,9.732499
11708.121,2687.462,0.98750824,9.789575
12361.611,2668.576,0.9832953,9.857117
13053.619,2649.6824,0.9785642,9.933623
13787.637,2630.787,0.97314364,10.022203
14567.761,2611.8833,0.96725744,10.119567
15398.431,2592.9736,0.96074384,10.228812
16284.753,2574.0596,0.9536093,10.350352
17232.62,2555.1404,0.94588244,10.484303
18248.8,2536.2122,0.9376,10.630685
19340.8,2517.279,0.9286886,10.791552
20517.582,2498.3386,0.91922,10.966456
21789.45,2479.395,0.9091139,11.157843
23168.781,2460.4514,0.8982221,11.369985
24670.518,2441.4946,0.8871021,11.592624
26311.23,2422.5317,0.87539524,11.834452
28111.426,2403.5703,0.86287034,12.101913
30097.115,2384.5967,0.8495062,12.39776
32297.99,2365.6477,0.8359383,12.709774
34758.957,2346.6963,0.82127887,13.060948
37531.375,2327.7537,0.80580616,13.448426
40685.652,2308.806,0.79006773,13.861227
44310.773,2289.879,0.77332735,14.322815
48541.02,2270.5393,0.75592,14.828922
53266.367,2251.342,0.7372602,15.403924
58700.01,2232.1204,0.71810055,16.031652
65000.203,2212.8992,0.6978076,16.742228
72408.16,2193.575,0.67627513,17.551792
81079.61,2174.279,0.6547005,18.42455
91462.086,2154.963,0.6316038,19.434542
104094.12,2135.6199,0.6080935,20.551685
119744.24,2116.221,0.5813886,21.942604
139364.89,2096.7585,0.55560035,23.430428
164192.44,2077.3245,0.52903926,25.14058
197309.97,2057.7656,0.5016361,27.126844
240852.12,2038.1237,0.47960377,28.90742
297783.56,2018.3987,0.44786873,31.845743
370663.84,1998.6031,0.42174992,34.642715
461431.8,1978.8195,0.38886842,38.78612
581503.94,1959.0239,0.32482722,49.785694
760129.4,1939.1503,0.26356077,66.15935
1012360.6,1919.2666,0.20642763,91.28801
1380980.1,1899.3744,0.1527975,132.84227
1663346.9,1889.4285,0.12785712,163.37833
2023788.0,1879.4703,0.104657315,202.83495
2481823.2,1869.5045,0.08333875,253.52072
3068047.5,1859.5258,0.064517416,315.7083
3816217.5,1849.518,0.050657686,375.80972
4733564.5,1839.4576,0.043174494,412.60825
5783890.5,1829.32,0.03655261,448.9369
6981308.5,1818.8046,0.030776115,483.44852
8338032.0,1805.6011,0.025675226,515.9234
9894365.0,1785.6931,0.021129489,545.89557
11758892.0,1751.6665,0.017047634,572.3477
14241935.0,1699.3506,0.013394937,592.19214
18180694.0,1634.27,0.0103413295,595.4952
25547374.0,1570.2438,0.007609128,567.1312
41633132.0,1508.0315,0.0052261297,458.03555
60995860.0,1466.5137,0.0043219184,296.40744
89344690.0,1373.737,0.003417709,108.67176
116346600.0,900.2125,0.0025541515,2.4106276e-18
124155970.0,897.8656,0.0019534875,2.4106276e-18
135246540.0,892.1814,0.0013528247,2.4106276e-18
150347920.0,887.036,0.00080439704,2.4106276e-18
170017550.0,863.10516,0.00050408434,2.4106276e-18
192837730.0,853.71735,0.0002037716,1.279344e-12
218292560.0,847.233,0.0,6.4060574e-10
