T(K),p_tot(bar),z(m)
1.2698285485e+02,1.0419237680e-05,1.8224827599e+05
1.4547432787e+02,1.8515659129e-05,1.8044461312e+05
1.4503763543e+02,2.7918920891e-05,1.7915184802e+05
1.4559052447e+02,4.2097671938e-05,1.7785953110e+05
1.4157888153e+02,6.3477166238e-05,1.7658102642e+05
1.3960691072e+02,9.5714334026e-05,1.7533053850e+05
1.3781608501e+02,1.4432329420e-04,1.7409732698e+05
1.3574535350e+02,2.1761853604e-04,1.7288160149e+05
1.3413597452e+02,3.2813710006e-04,1.7168287394e+05
1.3330112335e+02,4.9478301983e-04,1.7049578486e+05
1.3320976405e+02,7.4606082844e-04,1.6931357533e+05
1.3416883232e+02,1.1249512158e-03,1.6812842650e+05
1.3693853828e+02,1.6962628110e-03,1.6692800726e+05
1.4065482318e+02,2.5577176000e-03,1.6569972878e+05
1.4478594006e+02,3.8566661245e-03,1.6443735341e+05
1.5034215208e+02,5.8152915694e-03,1.6313323445e+05
1.5828397110e+02,8.7686138610e-03,1.6177099655e+05
1.6880924111e+02,1.3221794320e-02,1.6032882654e+05
1.8174546800e+02,1.9936542744e-02,1.5878467567e+05
1.9710432890e+02,3.0061406718e-02,1.5711733954e+05
2.1363052636e+02,4.5328228943e-02,1.5531058946e+05
2.3050301495e+02,6.8348376321e-02,1.5335760914e+05
2.4718744631e+02,1.0305941032e-01,1.5125772535e+05
2.6671763974e+02,1.5539860092e-01,1.4900088041e+05
3.0101261570e+02,2.3431848770e-01,1.4651522099e+05
3.5389552172e+02,3.5331819816e-01,1.4365624671e+05
4.1010677672e+02,5.3275245322e-01,1.4032175770e+05
4.7839924635e+02,8.0331321139e-01,1.3644951215e+05
5.5390259961e+02,1.2112794820e+00,1.3195468948e+05
6.1947726410e+02,1.8264332801e+00,1.2684412039e+05
7.0757042486e+02,2.7539957344e+00,1.2108024270e+05
8.3850659627e+02,4.1526250028e+00,1.1439065281e+05
1.0198635562e+03,6.2615545109e+00,1.0637886612e+05
1.2277492508e+03,9.4415134686e+00,9.6710516358e+04
1.3940878518e+03,1.4236429056e+01,8.5435419083e+04
1.5202301493e+03,2.1466464349e+01,7.2923029399e+04
1.6214962380e+03,3.2368305973e+01,5.9473625794e+04
1.7080770031e+03,4.8806697484e+01,4.5272508788e+04
1.7862226466e+03,7.3593400944e+01,3.0430877371e+04
1.8607800346e+03,1.1096814457e+02,1.5010854566e+04
1.9154995773e+03,1.4774839425e+02,3.3190321214e+03
1.9409636690e+03,1.6033478674e+02,0.0000000000e+00
