# T(K),p(bar),z(m)
1.4029373163e+02,1.0434848315e-05,2.7911907814e+05
1.5759598575e+02,1.8936168337e-05,2.7592782772e+05
1.4643882656e+02,2.8983678889e-05,2.7374713114e+05
1.3144611457e+02,4.4362387732e-05,2.7175162860e+05
1.2202473960e+02,6.7901022946e-05,2.6993571618e+05
1.1627663356e+02,1.0392923268e-04,2.6823174447e+05
1.1546355862e+02,1.5907397176e-04,2.6657914332e+05
1.1712712424e+02,2.4347845007e-04,2.6492318396e+05
1.2099627998e+02,3.7266785379e-04,2.6323033185e+05
1.2650414568e+02,5.7040501616e-04,2.6147286168e+05
1.3185847654e+02,8.7306130420e-04,2.5963896419e+05
1.3854007861e+02,1.3363066931e-03,2.5772154136e+05
1.4619836230e+02,2.0453495872e-03,2.5570411056e+05
1.5494621064e+02,3.1306098781e-03,2.5357227433e+05
1.6605711088e+02,4.7917081121e-03,2.5130272218e+05
1.7971166298e+02,7.3341832823e-03,2.4886109547e+05
1.9545584801e+02,1.1225693043e-02,2.4621462228e+05
2.1260054839e+02,1.7182033697e-02,2.4333858500e+05
2.2896103759e+02,2.6298802296e-02,2.4022759557e+05
2.4458304150e+02,4.0252918506e-02,2.3689311477e+05
2.5952986257e+02,6.1611073769e-02,2.3334584994e+05
2.7182073680e+02,9.4301843241e-02,2.2960849224e+05
2.8263817838e+02,1.4433829983e-01,2.2571164626e+05
3.0431648918e+02,2.2092404647e-01,2.2159908995e+05
3.3808258700e+02,3.3814610790e-01,2.1711145366e+05
3.8104891674e+02,5.1756606903e-01,2.1209892931e+05
4.2901376152e+02,7.9218606855e-01,2.0646147679e+05
4.6450325807e+02,1.2125191444e+00,2.0024163179e+05
5.0436810344e+02,1.8558804983e+00,1.9351165392e+05
5.5914792311e+02,2.8406086944e+00,1.8614836631e+05
6.3518202958e+02,4.3478326123e+00,1.7790988803e+05
7.6095475871e+02,6.6547879198e+00,1.6833281283e+05
9.3006988268e+02,1.0185811232e+01,1.5678289191e+05
1.1321595094e+03,1.5590391716e+01,1.4275009470e+05
1.3119536958e+03,2.3862636791e+01,1.2615398557e+05
1.4432557889e+03,3.6524126205e+01,1.0749590816e+05
1.5387746466e+03,5.5903788283e+01,8.7389621478e+04
1.6137243973e+03,8.5566278215e+01,6.6251395348e+04
1.6764550150e+03,1.3096765340e+02,4.4326592273e+04
1.7314476032e+03,2.0045894942e+02,2.1767311753e+04
1.7663577295e+03,2.6970068172e+02,4.7799566723e+03
1.7784829244e+03,2.9354949618e+02,0.0000000000e+00
