t(yr),T_surf(K),T_pot(K),phi(vol_frac),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),mmw(kg/mol),p_surf(bar),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),fO2_liquid(bar),fO2_solid(bar),R_trans(m),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),thick_surf_bl(m)
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,6.1259640275e+19,2.1074035973e+20,0.0000000000e+00,4.6898476293e+20,1.0152370677e+18,5.5354317215e+20,3.9179038388e-02,1.6085239542e+02,3.8254267078e+00,1.0996670661e+02,1.9632905537e+01,1.1473047863e-01,3.5396547454e-12,2.7312626086e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7206901437e+06,1.0000000000e+03,2.8385861726e+05,3.3927572348e+02,1.0000000000e-02
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,6.1259640275e+19,2.1074035973e+20,0.0000000000e+00,4.6898476293e+20,1.0152370677e+18,5.5354317215e+20,3.9179038388e-02,1.6085239542e+02,3.8254267078e+00,1.0996670661e+02,1.9632905537e+01,1.1473047863e-01,3.5396547454e-12,2.7312626086e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7206901437e+06,2.8363240000e+05,2.8385861726e+05,3.3927572348e+02,1.0000000000e-02
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,6.1259640275e+19,2.1074035973e+20,0.0000000000e+00,4.6898476294e+20,1.0152370678e+18,5.5354317215e+20,3.9179038388e-02,1.6085239542e+02,3.8254267079e+00,1.0996670661e+02,1.9632905537e+01,1.1473047864e-01,3.5396547457e-12,2.7312626086e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7206901437e+06,2.8363240000e+05,2.8385861726e+05,3.3927572348e+02,1.0000000000e-02
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,6.1259640273e+19,2.1074035972e+20,0.0000000000e+00,4.6898476294e+20,1.0152370677e+18,5.5354317214e+20,3.9179038388e-02,1.6085239542e+02,3.8254267078e+00,1.0996670661e+02,1.9632905537e+01,1.1473047864e-01,3.5396547455e-12,2.7312626085e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7206901437e+06,2.8363240000e+05,2.8385861726e+05,3.3927572348e+02,1.0000000000e-02
1.0000000000e+00,3.3754778989e+03,3.4133495553e+03,1.0000013620e+00,0.0000000000e+00,6.1095241329e+19,2.1090475867e+20,0.0000000000e+00,4.6898222365e+20,1.0177763496e+18,5.5664462519e+20,3.9087904044e-02,1.6213585828e+02,3.8253852829e+00,1.0956747114e+02,2.1128184148e+01,1.1543879004e-01,3.4985432622e-12,2.7499378923e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1128184148e+01,0.0000000000e+00,6.7243894483e+06,2.8363240000e+05,2.9564037196e+05,3.3927572348e+02,1.0000000000e-02
2.0000000000e+00,3.3751202733e+03,3.4129867077e+03,1.0000013620e+00,0.0000000000e+00,6.1098940382e+19,2.1090105962e+20,0.0000000000e+00,4.6898228112e+20,1.0177188752e+18,5.5657310909e+20,3.9089964214e-02,1.6210630851e+02,3.8253862206e+00,1.0957642478e+02,2.1093829108e+01,1.1542300562e-01,3.4994500153e-12,2.7495245396e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1093829108e+01,0.0000000000e+00,6.7243104294e+06,2.9541420000e+05,2.9538743446e+05,3.3927572348e+02,1.0000000000e-02
3.2000000000e+01,3.3645162302e+03,3.4022378959e+03,1.0000013620e+00,0.0000000000e+00,6.1207861529e+19,2.1079207860e+20,0.0000000000e+00,4.6898396643e+20,1.0160332833e+18,5.5450270736e+20,3.9150437644e-02,1.6124993855e+02,3.8254137139e+00,1.0984068141e+02,2.0096785354e+01,1.1495502738e-01,3.5265266213e-12,2.7372103051e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0096785354e+01,0.0000000000e+00,6.7222777703e+06,2.9516130000e+05,2.8855547972e+05,3.3927573904e+02,1.0000000000e-02
6.2000000000e+01,3.3541721687e+03,3.3917624054e+03,1.0000013620e+00,0.0000000000e+00,6.1312720995e+19,2.1068715933e+20,0.0000000000e+00,4.6898557597e+20,1.0144234527e+18,5.5257445968e+20,3.9208286413e-02,1.6045065538e+02,3.8254399714e+00,1.1009620950e+02,1.9163583390e+01,1.1449861543e-01,3.5533012292e-12,2.7250923894e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9163583390e+01,0.0000000000e+00,6.7195088202e+06,2.8832930000e+05,2.8010951376e+05,3.3927575365e+02,1.0000000000e-02
9.2000000000e+01,3.3440969072e+03,3.3815591268e+03,1.0000013620e+00,0.0000000000e+00,6.1413537859e+19,2.1058628276e+20,0.0000000000e+00,4.6898711131e+20,1.0128878219e+18,5.5078000970e+20,3.9263549635e-02,1.5970517862e+02,3.8254650186e+00,1.1034296078e+02,1.8290792483e+01,1.1405415296e-01,3.5797317399e-12,2.7131906189e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.8290792483e+01,0.0000000000e+00,6.7176321851e+06,2.7988330000e+05,2.7390951516e+05,3.3927576827e+02,1.0000000000e-02
3.0300000000e+02,3.2750182402e+03,3.3117713957e+03,1.0000013620e+00,0.0000000000e+00,6.2070352804e+19,2.0992904830e+20,0.0000000000e+00,4.6899680938e+20,1.0031877406e+18,5.4048116564e+20,3.9614150513e-02,1.5538438044e+02,3.8256232318e+00,1.1197859584e+02,1.3178196422e+01,1.1100926029e-01,3.7709792706e-12,2.6290955683e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3178196422e+01,0.0000000000e+00,6.7023075962e+06,2.7368330000e+05,2.2819161892e+05,3.3927587093e+02,1.0000000000e-02
5.3000000000e+02,3.2131474222e+03,3.2494364641e+03,1.0000013620e+00,0.0000000000e+00,6.2610080164e+19,2.0938887354e+20,0.0000000000e+00,4.6900435876e+20,9.9563621478e+17,5.3376679580e+20,3.9888245257e-02,1.5250262131e+02,3.8257463940e+00,1.1336374860e+02,9.7005822010e+00,1.0828594515e-01,3.9589706872e-12,2.5504258165e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7005822010e+00,0.0000000000e+00,6.6897101791e+06,2.2796540000e+05,1.9325231334e+05,3.3927598143e+02,1.0000000000e-02
8.1800000000e+02,3.1469370739e+03,3.1828539659e+03,1.0000013620e+00,0.0000000000e+00,6.3141904726e+19,2.0885648534e+20,0.0000000000e+00,4.6901140318e+20,9.8858912153e+17,5.2863278353e+20,4.0144044581e-02,1.5022477866e+02,3.8258613198e+00,1.1477038641e+02,6.8903353953e+00,1.0537600540e-01,4.1808036498e-12,2.4632819521e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.8903353953e+00,0.0000000000e+00,6.6768746479e+06,1.9302610000e+05,1.6094447395e+05,3.3927612159e+02,1.0000000000e-02
1.1640000000e+03,3.0809924974e+03,3.1166180256e+03,1.0000013620e+00,0.0000000000e+00,6.3630718590e+19,2.0836699914e+20,0.0000000000e+00,4.6901752319e+20,9.8246592675e+17,5.2515478439e+20,4.0365537059e-02,1.4859770044e+02,3.8259611659e+00,1.1610369782e+02,4.8254162223e+00,1.0248260783e-01,4.4268858379e-12,2.3740142622e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.8254162223e+00,0.0000000000e+00,6.6644725430e+06,1.6071830000e+05,1.3335112456e+05,3.3927628997e+02,1.0000000000e-02
1.5350000000e+03,3.0226634657e+03,3.0580626282e+03,1.0000013620e+00,0.0000000000e+00,6.4034263356e+19,2.0796273837e+20,0.0000000000e+00,4.6902232290e+20,9.7766284351e+17,5.2312560873e+20,4.0538273064e-02,1.4756892430e+02,3.8260394725e+00,1.1723544157e+02,3.4731611862e+00,9.9927690845e-02,4.6692880813e-12,2.2934354383e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.4731611862e+00,0.0000000000e+00,6.6541486635e+06,1.3312490000e+05,1.1246008601e+05,3.3927647054e+02,1.0000000000e-02
2.0500000000e+03,2.9548236303e+03,2.9899579239e+03,1.0000013620e+00,0.0000000000e+00,6.4475407106e+19,2.0752060636e+20,0.0000000000e+00,4.6902732318e+20,9.7265791331e+17,5.2170397142e+20,4.0716930581e-02,1.4674000336e+02,3.8261210523e+00,1.1850545725e+02,2.3286944149e+00,9.6961664483e-02,4.9859117538e-12,2.1982768984e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.3286944149e+00,0.0000000000e+00,6.6423931608e+06,1.1223390000e+05,9.1790251444e+04,3.3927672116e+02,1.0000000000e-02
