t(yr),T_surf(K),T_pot(K),phi(vol_frac),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),mmw(kg/mol),p_surf(bar),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),fO2_liquid(bar),fO2_solid(bar),R_trans(m),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),thick_surf_bl(m)
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,1.2343321407e+20,4.2156678593e+20,0.0000000000e+00,2.2177865168e+20,2.2134832315e+17,1.0522025155e+21,4.0185281412e-02,3.0218174156e+02,8.5546431374e-01,2.2562807067e+02,1.9632905537e+01,2.5656701243e-02,3.6319247192e-13,5.6039644347e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7312365243e+06,1.0000000000e+03,5.2248078719e+05,1.4980921518e+04,1.0000000000e-02
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,1.2343321407e+20,4.2156678593e+20,0.0000000000e+00,2.2177865168e+20,2.2134832315e+17,1.0522025155e+21,4.0185281412e-02,3.0218174156e+02,8.5546431374e-01,2.2562807066e+02,1.9632905537e+01,2.5656701243e-02,3.6319247192e-13,5.6039644347e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7312365243e+06,5.1249360000e+05,5.2248078719e+05,1.4980921518e+04,1.0000000000e-02
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,1.2343321407e+20,4.2156678593e+20,0.0000000000e+00,2.2177865168e+20,2.2134832315e+17,1.0522025155e+21,4.0185281412e-02,3.0218174156e+02,8.5546431374e-01,2.2562807067e+02,1.9632905537e+01,2.5656701243e-02,3.6319247192e-13,5.6039644347e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7312365243e+06,5.1249360000e+05,5.2248078719e+05,1.4980921518e+04,1.0000000000e-02
0.0000000000e+00,3.3594273426e+03,3.3971873023e+03,1.0000013620e+00,0.0000000000e+00,1.2343321406e+20,4.2156678593e+20,0.0000000000e+00,2.2177865171e+20,2.2134832322e+17,1.0522025155e+21,4.0185281412e-02,3.0218174156e+02,8.5546431399e-01,2.2562807066e+02,1.9632905537e+01,2.5656701251e-02,3.6319247213e-13,5.6039644346e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9632905537e+01,0.0000000000e+00,6.7312365243e+06,5.1249360000e+05,5.2248078713e+05,1.4980921518e+04,1.0000000000e-02
1.0000000000e+00,3.3751557683e+03,3.4130230982e+03,1.0000013620e+00,0.0000000000e+00,1.2317227330e+20,4.2182772670e+20,0.0000000000e+00,2.2177825793e+20,2.2174207160e+17,1.0548980798e+21,4.0120860644e-02,3.0336875219e+02,8.5546127614e-01,2.2494505392e+02,2.1097236759e+01,2.5812100683e-02,3.5925400654e-13,5.6445188130e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1097236759e+01,0.0000000000e+00,6.7331227922e+06,5.1249360000e+05,5.3754108598e+05,1.4980921518e+04,1.0000000000e-02
2.0000000000e+00,3.3745189896e+03,3.4123770051e+03,1.0000013620e+00,0.0000000000e+00,1.2318292664e+20,4.2181707336e+20,0.0000000000e+00,2.2177827410e+20,2.2172590238e+17,1.0547849647e+21,4.0123505615e-02,3.0331912857e+02,8.5546140087e-01,2.2497284742e+02,2.1036175672e+01,2.5805808132e-02,3.5941178597e-13,5.6428838275e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1036175672e+01,0.0000000000e+00,6.7337624398e+06,5.2755390000e+05,5.3973440449e+05,1.4980921518e+04,1.0000000000e-02
3.2000000000e+01,3.3555021406e+03,3.3931096859e+03,1.0000013620e+00,0.0000000000e+00,1.2349349416e+20,4.2148803355e+20,0.0000000000e+00,2.2177873833e+20,2.2125195758e+17,1.0515267094e+21,4.0201045290e-02,3.0188808673e+02,8.5546498225e-01,2.2578960890e+02,1.9281434884e+01,2.5617925994e-02,3.6417635586e-13,5.5935960042e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.9281434884e+01,0.0000000000e+00,6.7316631114e+06,5.2974720000e+05,5.2223329507e+05,1.4980915261e+04,1.0000000000e-02
6.2000000000e+01,3.3370748517e+03,3.3744532163e+03,1.0000013620e+00,0.0000000000e+00,1.2378805333e+20,4.2117502243e+20,0.0000000000e+00,2.2177917202e+20,2.2080858854e+17,1.0486410228e+21,4.0273599465e-02,3.0060829797e+02,8.5546832793e-01,2.2657087349e+02,1.7702967583e+01,2.5435946517e-02,3.6891676522e-13,5.5453552623e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7702967583e+01,0.0000000000e+00,6.7283964311e+06,5.1224610000e+05,5.0095131376e+05,1.4980909395e+04,1.0000000000e-02
9.2000000000e+01,3.3194608670e+03,3.3566453586e+03,1.0000013620e+00,0.0000000000e+00,1.2406385777e+20,4.2088079746e+20,0.0000000000e+00,2.2177957212e+20,2.2039882346e+17,1.0461165816e+21,4.0340653374e-02,2.9947707376e+02,8.5547141461e-01,2.2730845935e+02,1.6299699933e+01,2.5262071685e-02,3.7356660704e-13,5.4988180993e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6299699933e+01,0.0000000000e+00,6.7252126348e+06,4.9096410000e+05,4.8091732141e+05,1.4980903529e+04,1.0000000000e-02
2.2700000000e+02,3.2433869557e+03,3.2798866011e+03,1.0000013620e+00,0.0000000000e+00,1.2519598954e+20,4.1966591087e+20,0.0000000000e+00,2.2178115435e+20,2.1877325834e+17,1.0375278422e+21,4.0606349392e-02,2.9550078803e+02,8.5548362094e-01,2.3040015339e+02,1.1285084807e+01,2.4511960217e-02,3.9511457777e-13,5.2935554245e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.1285084807e+01,0.0000000000e+00,6.7110318085e+06,4.7093010000e+05,3.9894916500e+05,1.4980877132e+04,1.0000000000e-02
