# T(K),p(bar),z(m)
4.7187461935e+02,1.0434440120e-05,4.5857429184e+05
5.4944329059e+02,1.8925060071e-05,4.5086345658e+05
5.5698463991e+02,2.8955347263e-05,4.4525942898e+05
5.6574897237e+02,4.4301689505e-05,4.3958289339e+05
5.6988364132e+02,6.7781597477e-05,4.3384830424e+05
5.7411618907e+02,1.0370586332e-04,4.2808133883e+05
5.7437486690e+02,1.5867000022e-04,4.2229951526e+05
5.7350152089e+02,2.4276514523e-04,4.1653008575e+05
5.7289728674e+02,3.7143074088e-04,4.1077808171e+05
5.7441818847e+02,5.6828913864e-04,4.0503244130e+05
5.7765336949e+02,8.6948254290e-04,3.9927375891e+05
5.8290431075e+02,1.3303085366e-03,3.9348368379e+05
5.9078867878e+02,2.0353724375e-03,3.8763958381e+05
5.9987641512e+02,3.1141204052e-03,3.8172194701e+05
6.0948530284e+02,4.7646051010e-03,3.7572227647e+05
6.2439801884e+02,7.2898471526e-03,3.6961470590e+05
6.5096340036e+02,1.1153468206e-02,3.6331937286e+05
6.9005924895e+02,1.7064809511e-02,3.5671854029e+05
7.3337302546e+02,2.6109163380e-02,3.4972727952e+05
7.7416740988e+02,3.9947027358e-02,3.4233623859e+05
8.1607236625e+02,6.1118963160e-02,3.3455691225e+05
8.6214250185e+02,9.3512030928e-02,3.2636787356e+05
9.1440127319e+02,1.4307343378e-01,3.1772278426e+05
9.7961944753e+02,2.1890239416e-01,3.0853567827e+05
1.0670241538e+03,3.3492072500e-01,2.9864552849e+05
1.1871501258e+03,5.1242880401e-01,2.8779885313e+05
1.3437689005e+03,7.8401621511e-01,2.7567394826e+05
1.5115789705e+03,1.1995450309e+00,2.6204364551e+05
1.6527054188e+03,1.8353042367e+00,2.4698165726e+05
1.7646199567e+03,2.8080160015e+00,2.3077212657e+05
1.8625797499e+03,4.2962652767e+00,2.1364405428e+05
1.9572131638e+03,6.5732870889e+00,1.9569891709e+05
2.0505873814e+03,1.0057131106e+01,1.7697332445e+05
2.1442102988e+03,1.5387413437e+01,1.5748696981e+05
2.2405766450e+03,2.3542746913e+01,1.3724185782e+05
2.3410651569e+03,3.6020409438e+01,1.1622240997e+05
2.4460482233e+03,5.5111236631e+01,9.4405778664e+04
2.5553976344e+03,8.4320207638e+01,7.1769207732e+04
2.6711884394e+03,1.2900994154e+02,4.8283736099e+04
2.7993881314e+03,1.9738524706e+02,2.3888126147e+04
2.9063416001e+03,2.6549286929e+02,5.2985767085e+03
2.9830200692e+03,2.8894709776e+02,0.0000000000e+00
