T(K),p_tot(bar),z(m)
4.3893032471e+02,1.0434953545e-05,3.0822266392e+05
5.1194027712e+02,1.8939032955e-05,3.0161968185e+05
5.2243169188e+02,2.8990986891e-05,2.9680026591e+05
5.3102236679e+02,4.4378048390e-05,2.9189812090e+05
5.3602644316e+02,6.7931843311e-05,2.8693829920e+05
5.4082574973e+02,1.0398689224e-04,2.8194033257e+05
5.4164294997e+02,1.5917827678e-04,2.7692195279e+05
5.4029847419e+02,2.4366266993e-04,2.7191258335e+05
5.3719389461e+02,3.7298743219e-04,2.6693051135e+05
5.3637175175e+02,5.7095173671e-04,2.6197519824e+05
5.3694827131e+02,8.7398624598e-04,2.5702915721e+05
5.3814188876e+02,1.3378573162e-03,2.5208271365e+05
5.4165152144e+02,2.0479294803e-03,2.4712324706e+05
5.4628597940e+02,3.1348747774e-03,2.4213448103e+05
5.4985070361e+02,4.7987198604e-03,2.3711524900e+05
5.5260454157e+02,7.3456561854e-03,2.3207442823e+05
5.6090778127e+02,1.1244387329e-02,2.2699359186e+05
5.7977071626e+02,1.7212382830e-02,2.2180197540e+05
6.1016545986e+02,2.6347911543e-02,2.1640011602e+05
6.4491270898e+02,4.0332152121e-02,2.1071349998e+05
6.7805211082e+02,6.1738574311e-02,2.0472833480e+05
7.0781191947e+02,9.4506525376e-02,1.9846799970e+05
7.3253942428e+02,1.4466617408e-01,1.9197129293e+05
7.5571780927e+02,2.2144822106e-01,1.8527097706e+05
7.7930923669e+02,3.3898259162e-01,1.7837439187e+05
8.0354680978e+02,5.1889871534e-01,1.7127818972e+05
8.3471247983e+02,7.9430591258e-01,1.6395280955e+05
8.7824627200e+02,1.2158863842e+00,1.5631627456e+05
9.4241098283e+02,1.8612220756e+00,1.4822777174e+05
1.0294383220e+03,2.8490718044e+00,1.3949861364e+05
1.1316719518e+03,4.3612260210e+00,1.2996187394e+05
1.2286079163e+03,6.6759610539e+00,1.1957146424e+05
1.3072524369e+03,1.0219249307e+01,1.0843346375e+05
1.3769982698e+03,1.5643149437e+01,9.6679317306e+04
1.4451185284e+03,2.3945802373e+01,8.4365276518e+04
1.5134971514e+03,3.6655115620e+01,7.1504791883e+04
1.5825464437e+03,5.6109938612e+01,5.8100806672e+04
1.6519651749e+03,8.5890472795e+01,4.4155718741e+04
1.7217664361e+03,1.3147712330e+02,2.9673548580e+04
1.7932062848e+03,2.0125903826e+02,1.4653628010e+04
1.8474669770e+03,2.7079616841e+02,3.2392236714e+03
1.8736997427e+03,2.9474777027e+02,0.0000000000e+00
